révolution;116;70;41;137;55
violence;70;71;46;86;31
violent;41;39;15;44;17
voir;20;11;12;27;8
politique;20;31;10;6;9
révolutionnaire;21;19;6;14;15
changement;8;42;11;14;3
effet;21;15;13;9;6
société;7;34;4;7;2
r;2;6;3;39;4
mouvement;16;10;4;8;5
prendre;9;5;2;16;17
exemple;11;3;8;17;12
régime;11;17;8;3;5
cas;24;3;5;11;2
moyen;21;2;6;3;0
aller;12;10;5;11;3
place;17;7;8;7;2
social;2;20;0;1;7
idée;13;4;3;14;4
p;2;3;0;22;2
nécessairement;10;5;0;7;2
marx;3;4;1;4;4
permettre;4;11;3;10;3
guerre;1;2;7;13;9
premier;7;4;3;21;0
ordre;12;8;7;5;2
homme;5;9;1;12;5
forme;6;9;1;17;4
classe;0;2;0;0;2
considérer;18;5;2;7;1
monde;14;5;2;6;2
pacifique;0;4;6;12;0
mettre;14;3;2;2;2
sembler;9;4;3;7;2
partie;7;8;4;5;5
fin;2;2;3;13;6
siècle;13;7;2;3;0
notamment;7;2;4;5;6
i;0;0;0;20;4
droit;2;5;5;2;5
période;4;0;3;3;11
peuple;8;3;9;0;7
également;11;4;0;5;5
passer;2;4;1;14;3
nombreux;3;3;10;2;8
liberté;4;4;1;6;13
etat;9;10;4;2;1
dernier;9;0;10;2;4
partir;2;1;14;1;0
grand;0;12;3;2;8
nouveau;14;4;5;3;0
montrer;6;6;6;3;6
année;4;1;9;6;2
américain;0;0;4;6;7
terme;16;0;0;7;1
seul;8;1;4;5;1
nécessaire;8;8;3;2;0
mener;0;3;4;4;4
manière;5;8;4;4;1
histoire;1;4;1;1;2
fois;2;15;1;3;2
volonté;4;3;11;2;2
population;6;8;2;3;2
important;0;12;1;7;3
cause;9;2;1;2;7
fran;0;0;1;2;17
sentir;12;6;1;2;1
lutte;1;1;1;0;2
gouvernement;1;2;7;0;8
france;6;0;5;2;6
communiste;1;3;3;1;1
rendre;0;4;5;0;1
manifestation;0;0;13;2;3
imposer;3;4;10;0;1
français;1;2;2;12;4
devenir;8;0;7;3;1
brutal;7;9;2;3;0
évolution;3;1;0;15;0
populaire;4;2;2;0;7
