de;117;112;80;153;96
la;114;113;78;146;91
être;112;97;60;150;67
le;83;56;48;80;45
les;78;56;38;90;41
et;89;65;48;88;45
à;72;56;48;83;54
l;57;45;42;88;36
une;73;67;35;75;49
des;65;48;45;76;47
en;70;50;47;69;45
avoir;53;38;44;90;36
un;66;53;32;75;23
d;57;39;33;83;37
ne;52;41;37;69;24
que;56;42;21;69;29
par;37;44;19;55;23
dans;48;49;24;57;27
qui;43;39;27;52;31
pouvoir;46;45;29;58;24
pour;51;37;25;41;22
du;32;20;30;30;23
s;20;25;29;68;22
pas;32;32;26;44;17
e;21;15;18;56;12
il;26;25;23;31;16
se;25;26;14;50;20
ce;39;29;13;31;14
cette;28;18;17;36;25
1;1;0;1;11;3
c;21;20;13;34;8
plus;12;27;15;33;23
au;31;21;15;28;18
on;28;14;9;41;7
nous;20;12;7;47;13
faire;26;20;17;25;10
8;0;0;0;7;0
ou;26;26;17;26;9
comme;30;23;8;24;15
mais;24;18;11;28;8
elle;20;17;7;21;10
qu;20;9;14;32;9
avec;12;18;10;13;18
t;10;6;5;37;8
donc;15;21;9;28;6
2;1;0;0;7;1
même;16;11;16;16;5
sur;16;9;5;23;9
ainsi;17;9;15;15;7
bien;13;14;8;19;3
son;14;10;8;13;9
si;15;9;14;17;3
ces;12;10;15;18;3
tout;8;8;12;18;7
sans;9;8;5;14;6
leur;11;6;13;9;7
contre;14;9;10;7;5
non;8;7;7;15;3
elles;11;8;3;14;1
aux;10;4;9;12;8
alors;8;6;11;14;8
cela;9;6;9;12;4
aussi;11;7;7;19;3
b;1;0;1;10;0
6;0;0;0;4;0
9;0;0;0;3;0
force;8;9;13;4;3
car;14;4;6;8;6
u;5;3;3;20;1
entre;4;6;4;10;4
ses;5;9;2;5;5
sa;6;6;3;9;4
y;8;9;5;6;0
lors;7;4;4;4;8
autre;11;6;2;4;0
lui;3;4;5;7;3
devoir;4;6;8;5;3
m;0;1;1;19;0
vouloir;6;1;4;6;4
très;4;4;4;9;6
dire;5;2;2;10;4
1789;1;1;1;6;16
deux;1;6;3;8;4
celle;4;3;4;8;3
souvent;9;5;1;6;2
point;8;3;2;8;0
o;5;1;1;11;2
encore;0;7;2;10;3
cependant;8;4;3;5;4
où;6;3;5;5;4
ils;2;6;1;4;4
toujours;5;5;4;6;0
personne;5;6;4;3;4
autres;4;2;5;6;4
ici;7;3;2;7;1
tous;5;2;3;3;3
leurs;2;7;5;3;1
ci;3;1;1;9;3
sous;4;5;1;3;3
toutes;4;4;4;4;1
toute;4;5;0;3;1
certaines;2;4;5;4;0
celui;5;1;1;5;2
peu;2;1;2;8;0
falloir;4;2;4;1;2
f;3;1;3;3;1
ceux;3;0;4;4;1
certains;4;4;2;3;2
puis;4;1;1;3;5
après;3;0;2;2;4
an;1;2;3;8;1
moins;3;2;3;4;1
cet;5;3;1;3;1
parfois;6;3;3;2;0
néanmoins;3;3;5;2;0
différents;4;3;0;4;0
d_abord;4;4;1;1;4
ailleurs;2;2;2;2;4
v;2;1;0;4;3
quelque;2;5;1;5;0
quand;2;1;4;1;1
avant;1;3;2;3;1
afin;1;3;4;2;1
3;1;1;1;3;1
vers;4;1;1;3;2
selon;1;4;0;6;0
savoir;0;2;1;5;2
pourtant;2;1;3;3;2
dont;1;2;1;2;3
plusieurs;4;1;1;5;0
ensuite;4;2;0;4;1
enfin;3;3;2;3;0
5;0;0;1;1;1
me;3;0;3;2;1
lorsque;2;3;0;2;2
je;1;1;2;2;1
fort;0;0;0;5;2
bon;2;0;2;3;1
x;3;1;1;2;2
te;2;2;0;5;0
pa;0;2;1;5;1
là;0;2;1;3;0
lorsqu;1;3;1;1;0
lequel;1;2;1;0;1
durant;2;0;0;1;4
certes;0;2;2;3;0
certain;0;0;1;4;1
assez;0;0;4;3;2
1917;0;2;0;2;3
vite;1;1;1;4;1
malgré;0;1;2;4;1
lui_même;2;2;1;0;3
laquelle;0;2;2;1;3
dès;2;1;1;0;4
chaque;2;4;0;0;0
celle_ci;1;3;0;3;0
rien;0;1;2;2;0
notre;1;1;0;4;1
maintenant;1;2;0;3;1
g;0;1;1;3;0
envers;4;1;1;0;1
aucune;0;0;0;4;1
4;0;1;1;3;0
000;1;0;1;2;3
vous;0;0;0;0;4
tant;1;1;1;0;2
pourquoi;0;2;1;0;0
