"";"x"
"1";0
"2";1
"3";1
"4";2
"5";1
"6";1
"7";2
"8";0
"9";0
"10";0
"11";0
"12";1
"13";0
"14";0
"15";0
"16";0
"17";5
"18";5
"19";5
"20";5
"21";5
"22";5
"23";5
"24";2
"25";1
"26";1
"27";5
"28";5
"29";4
"30";5
"31";5
"32";5
"33";4
"34";2
"35";1
"36";5
"37";5
"38";1
"39";2
"40";2
"41";1
"42";2
"43";3
"44";3
"45";5
"46";1
"47";1
"48";0
"49";1
"50";1
"51";2
"52";2
"53";1
"54";4
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";5
"65";2
"66";5
"67";5
"68";5
"69";4
"70";0
"71";5
"72";5
"73";5
"74";5
"75";4
"76";2
"77";0
"78";0
"79";0
"80";5
"81";0
"82";0
"83";1
"84";2
"85";3
"86";0
"87";3
"88";2
"89";2
"90";2
"91";2
"92";2
"93";0
"94";0
"95";2
"96";1
"97";3
"98";0
"99";2
"100";1
"101";1
"102";1
"103";3
"104";5
"105";5
"106";5
"107";3
"108";2
"109";2
"110";1
"111";3
"112";2
"113";3
"114";4
"115";2
"116";2
"117";3
"118";2
"119";3
"120";2
"121";1
"122";1
"123";4
"124";0
"125";0
"126";4
"127";4
"128";1
"129";1
"130";4
"131";4
"132";1
"133";0
"134";0
"135";0
"136";4
"137";0
"138";4
"139";0
"140";4
"141";0
"142";0
"143";2
"144";4
"145";5
"146";0
"147";5
"148";5
"149";5
"150";0
"151";5
"152";4
"153";4
"154";4
"155";1
"156";4
"157";4
"158";4
"159";4
"160";1
"161";4
"162";0
"163";4
"164";4
"165";4
"166";4
"167";0
"168";4
"169";2
"170";5
"171";4
"172";2
"173";4
"174";2
"175";4
"176";4
"177";4
"178";5
"179";4
"180";1
"181";2
"182";5
"183";2
"184";4
"185";0
"186";1
"187";4
"188";2
"189";1
"190";4
"191";5
"192";4
"193";5
"194";5
"195";2
"196";0
"197";2
"198";2
"199";5
"200";2
"201";1
"202";4
"203";3
"204";4
"205";4
"206";4
"207";3
"208";4
"209";2
"210";4
"211";4
"212";4
"213";4
"214";0
"215";3
"216";3
"217";5
"218";5
"219";4
"220";3
"221";4
"222";4
"223";2
"224";1
"225";2
"226";4
"227";4
"228";4
"229";2
"230";4
"231";4
"232";4
"233";4
"234";4
"235";4
"236";4
"237";4
"238";1
"239";2
"240";1
"241";1
"242";0
"243";3
"244";3
"245";2
"246";2
"247";1
"248";5
"249";1
"250";1
"251";1
"252";3
"253";1
"254";2
"255";0
"256";0
"257";3
"258";1
"259";3
"260";3
"261";3
"262";1
"263";1
"264";1
"265";1
"266";1
"267";2
"268";1
"269";1
"270";2
"271";5
"272";1
"273";3
"274";1
"275";3
"276";0
"277";0
"278";4
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";0
"290";0
"291";4
"292";0
"293";0
"294";0
"295";0
"296";4
"297";4
"298";0
"299";0
"300";0
"301";0
"302";0
"303";0
"304";0
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";4
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";4
"320";0
"321";4
"322";0
"323";0
"324";0
"325";0
"326";0
"327";2
"328";1
"329";2
"330";2
"331";1
"332";2
"333";1
"334";2
"335";0
