"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,128447285547952;-0,0741949715578123;1,06222378007782;-0,656429461316494;0,267445828458273;-0,981701664364152;0,0794082372043549;-0,0458685590411612;0,656684316314622;-0,405815554215721;0,165339436290395;-0,606904212067887;0,0254732630370477;0,00334104298763129;0,157870491773788;0,0410161321096155;0,00633931855817102;0,0726643727212499;0,000912298193565434;0,000304393867486452;0,0623905756648704;0,0238266553129232;0,00395511039312061;0,0532900352889215;0,0552951388888889;0,730038448095238;0,0294698835450679
"classe 2";-5,93607360509356;0,702737576090074;-0,108574516142157;-0,0163827709633478;-0,00548929658214246;0,0251420150940895;-0,99288868830187;0,117542375071933;-0,0181605579861568;-0,00274024027575918;-0,000918159181595502;0,004205342461828;0,994487129932326;0,00547879896024736;3,01502294360539e-05;4,67002480799529e-07;4,88169009269847e-08;8,71221398233471e-07;0,958922747086393;0,0134391381611238;0,000320804810039093;7,30398353482294e-06;8,20008696099566e-07;1,72022490761989e-05;0,0272135416666667;5,39961489003478;0,793433692810316
"classe 3";0,196080771592496;0,0509682652481657;-1,07908753885392;1,25169966991291;0,644280557788656;-0,421574828095584;0,106890530972964;0,027784595556721;-0,588248603152776;0,682345552034715;0,351220011826097;-0,229815278948533;0,0527960937746878;0,0014022643119968;0,144903653531382;0,132640426109447;0,0327203567545228;0,0119181507954976;0,00210761310469765;0,000142403472691863;0,0638313795378425;0,0858857576563668;0,0227546902392992;0,00974249561495949;0,0548177083333333;0,774100243187883;0,0328484804059883
"classe 4";0,180826847958416;0,0459795420263375;-0,160401236064347;-1,99774779232459;-0,588663317728994;-1,14473981646486;0,0756836818075669;0,0192443824999883;-0,0671346995697576;-0,836141922248368;-0,246380489035751;-0,479122016448037;0,0342769624122681;0,000871172557194122;0,00244414028500628;0,257929893492121;0,0208519489402496;0,0670838281016885;0,00124179927624801;8,02887803529849e-05;0,000977104468949618;0,151567782618079;0,0131601101968205;0,0497667357411022;0,0379774305555556;0,885981881124205;0,0298109117608653
"classe 5";0,190096253027651;0,0493635040802534;-0,670725084417155;-1,1727293436631;0,304817281881443;2,38173102046339;0,0688226402057296;0,017871613072327;-0,242829989684674;-0,424576120739671;0,110356357820286;0,862284313748859;0,0215928741366418;0,00057236583309898;0,0243605248782832;0,0506643855641712;0,00318697541538059;0,165529926438442;0,000729319106686022;4,91793109293731e-05;0,00907945071930886;0,0277565869258743;0,00187520887717535;0,114486928560524;0,0201822916666667;1,17349548340415;0,0277928653233515
"classe 6";0,161824912528476;-0,110250189980028;0,207435168798618;0,194304521920726;1,47422067684134;-1,24030912233503;0,0826798244943411;-0,0563291907011687;0,105983084323965;0,0992743547322201;0,753211016293439;-0,633700577686671;0,0392486044024654;0,00716127826827186;0,00584429916264922;0,00348853535121563;0,186979784220932;0,112595514164694;0,00143780110365816;0,000667370097836365;0,00236250550377415;0,00207287859188954;0,119325440715867;0,0844632768866572;0,0549045138888889;0,740962730415533;0,0301439928970931
"classe 7";0,192314768936855;0,059791133631963;-0,948178867121725;1,78527813219734;0,82197762267847;-0,0619400460815465;0,0877216876364943;0,0272728879684592;-0,432498506822881;0,814329609330735;0,374933577173494;-0,0282530842773679;0,0551969294203036;0,00209730512904468;0,121591828908378;0,293254895285518;0,0578823072370856;0,000279614988682589;0,0023195868991986;0,000224212049051135;0,0563853026068257;0,199892796156313;0,0423745755905423;0,000240618170612154;0,0627170138888889;0,742537293108969;0,0345797551104698
"classe 8";0,118620329114258;-0,0127882460281978;0,998168086410321;0,967066748668609;0,414964835497542;-1,41628624499784;0,0584127238416929;-0,00629737153186636;0,491532245901255;0,47621687908193;0,204342936163865;-0,69742798664941;0,0156792354904174;7,16352860015058e-05;0,100611633066587;0,0642485589636384;0,0110145162050648;0,109153197919624;0,00047085821577447;5,47260205400695e-06;0,0333410493337379;0,0312957097356487;0,00576228182002239;0,0671234048225146;0,0334635416666667;0,859329608140627;0,0247110645162462
"classe 9";0,181022423460189;0,0466193526270623;-0,553547090725672;0,806794781570244;-2,71049084867173;-0,821581770599433;0,0602938239765694;0,0155276842916419;-0,184372025371187;0,268722192617807;-0,90279344954111;-0,273647351040876;0,0508015277445642;0,00132447236133516;0,0430482372318506;0,0622131283659591;0,653798793976357;0,0511024083673735;0,00265111265497506;0,000175831187907072;0,0247897746266143;0,0526610597081846;0,594373343503761;0,0546091003982788;0,0809027777777778;0,728546172217532;0,0429415379643425
"classe 10";-3,24534926575051;-28,9725474835886;-0,873809601196665;0,247587482315581;-0,328539668370173;0,433288801841589;-0,111245132160724;-0,993130356679591;-0,029952728229993;0,00848688382548193;-0,0112617890510555;0,0148524137396602;0,0309202166493039;0,968704705569814;0,000203136268984962;1,1094835464236e-05;1,81899486467906e-05;2,69154923719915e-05;0,012342529519579;0,983681844947807;0,00089477720993376;7,18354235148847e-05;0,00012649021135873;0,000220006858360921;0,001171875;16,7418432311302;0,32846404075282
