"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,822860442462158;47,8306783513228;47,8306783513228
"facteur 2";0,32346298096476;18,802038599391;66,6327169507138
"facteur 3";0,0745693553585164;4,33451733363974;70,9672342843536
"facteur 4";0,050730604898787;2,94883448063371;73,9160687649873
"facteur 5";0,0472348331893175;2,74563461392851;76,6617033789158
"facteur 6";0,0401840717567666;2,33579269565236;78,9974960745682
"facteur 7";0,0383498179605601;2,22917242468815;81,2266684992563
"facteur 8";0,0336493952982713;1,95594941763426;83,1826179168906
"facteur 9";0,0314048184093766;1,82547816191768;85,0080960788083
"facteur 10";0,0293478802888685;1,70591384632583;86,7140099251341
"facteur 11";0,0282140454603415;1,64000705801975;88,3540169831538
"facteur 12";0,0277173111542754;1,61113322037551;89,9651502035293
"facteur 13";0,0262275996086526;1,52454026961739;91,4896904731467
"facteur 14";0,0255324498016461;1,48413306918687;92,9738235423336
"facteur 15";0,0233463714154195;1,35706217508785;94,3308857174215
"facteur 16";0,0218767824677795;1,271638897171;95,6025246145925
"facteur 17";0,0209543574385934;1,21802079548879;96,8205454100813
"facteur 18";0,0196277481392319;1,14090854240031;97,9614539524816
"facteur 19";0,0179748409210715;1,04482946335278;99,0062834158343
"facteur 20";0,0170955147682101;0,99371658416567;100
