"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,131294939681728;1,42138032818121;-0,0104669512177444;-0,232153175337573;-0,734420478187056;-0,0385071285063314;0,080922686223969;0,876057482345889;-0,00645122966024712;-0,143085930114905;-0,452654748590126;-0,0237335900763399;0,0910040111807077;0,774653409559603;1,30069873171819e-05;0,00270856238664872;0,0168537955752988;4,12807151556393e-05;0,000984984141487914;0,115439347511283;6,25999033209135e-06;0,00307951638198699;0,030819303401601;8,47257712534069e-05;0,0571390824718433;0,297395909955362;0,00505362770937174
"classe 2";-6,36035046482719;-0,28420921916429;-0,121928524863265;0,0363516728771687;-0,0162547838047236;-0,115024458716645;-0,998637565017206;-0,0446236420699153;-0,0191439773403901;0,00570757009179117;-0,00255216089245348;-0,0180599710669141;0,999797172740933;0,000144993458976836;8,26289449988184e-06;3,10902090259427e-07;3,86505619941262e-08;1,72437053142853e-06;0,919258576753775;0,00183548956691505;0,000337820683708041;3,00278612552912e-05;6,00396279744866e-06;0,000300646390293073;0,0227235195032533;4,3465268366715;0,429299446207716
"classe 3";0,147965588256871;-0,79504588590678;0,748583948056407;1,23807456971247;-1,05246849617449;1,14435207139338;0,0651102750348023;-0,349849292031416;0,329404338662692;0,544798129735612;-0,463124663367151;0,503556799812937;0,153101648639694;0,321044388176673;0,088127448241964;0,102041551018195;0,0458479829235476;0,0482923258216446;0,001183742631685;0,0341759210510115;0,0302982021656701;0,0828761265632715;0,0598899634810236;0,0708035704602802;0,0540674439343396;0,258397354150543;0,00361003957917184
"classe 4";0,165737417947954;-0,0373216702927993;-1,30590230059933;-3,27319883410985;-2,16259448307838;-0,0514006090031589;0,0400472960499259;-0,00901807206724325;-0,315546463145719;-0,79090626825762;-0,522549841623411;-0,0124199799380391;0,131383370098756;0,000483886694964164;0,18343930313277;0,48783062814255;0,132401543735561;6,66401820015684e-05;0,000970760449437476;4,92258337545176e-05;0,0602687675800229;0,378630602442492;0,165280309843046;9,33700230639864e-05;0,0353403573669782;0,312440727778386;0,00344989770984296
"classe 5";0,130614130714363;-0,640050244198333;0,958524795870341;-0,650036822997725;0,214088079783867;-1,28272786178096;0,0702260358928661;-0,344129621936588;0,51536075270599;-0,349499009133649;0,115106666429648;-0,689671878299327;0,0965809686020082;0,168446363469068;0,116974093788262;0,0227725767051636;0,00153581819494122;0,0491225234538683;0,000336952491431672;0,00809126599163757;0,018146590844878;0,00834572867223567;0,000905259970654782;0,032498057234822;0,0197509660798626;0,287184936922041;0,00162896464051789
"classe 6";0,0957199793710637;1,12685901946758;1,22848473598476;-0,870270039643095;2,05042904825094;0,0598390268552835;0,0343761844420345;0,404692037628018;0,441189166001875;-0,312542518225736;0,736376330324278;0,0214901574104489;0,0486419109947771;0,489628718581564;0,180184207065032;0,0382770561067848;0,132110864511041;0,000100247803346197;0,000555603571412723;0,0770014682614185;0,0915164922106318;0,0459269813168122;0,254946660553854;0,000217134523626408;0,0606400898371701;0,296561352024228;0,00533321315865206
"classe 7";0,155454896500223;-0,951621622395563;0,982687570880275;0,703271787229599;1,3237486434886;-0,459266599833968;0,0745070704286713;-0,456097175692184;0,470986592904466;0,337067032054137;0,634451764664239;-0,220119209299507;0,161336799058664;0,439112200155378;0,144986413846273;0,0314337389972987;0,069243543937899;0,00742599639583238;0,00149497437448762;0,0560213460042527;0,0597387130975957;0,0305964702636874;0,108401674949345;0,0130483218816686;0,0618621395778974;0,264456934134853;0,00432648153160772
"classe 8";0,0114157563448296;2,10301036247759;1,894243138392;-0,516110843458683;-0,357446078599488;0,88017052879499;0,00376780654289583;0,694105231766758;0,625200948152808;-0,170344018749477;-0,117976210510974;0,290503071113625;0,000305196978728883;0,752273823972491;0,18897921975;0,005938569501391;0,00177106919529409;0,00956764116907222;5,0101360690999e-06;0,170028985981998;0,137946785559658;0,0102406165995402;0,00491203229380587;0,0297833664484516;0,038445024275853;0,446510675423748;0,00766485304763421
"classe 9";0,216723090136418;-0,767745718840679;-0,711002107116632;-0,438849676548767;0,625057355466443;0,412439124609609;0,157421528025572;-0,557668793477035;-0,516451837509554;-0,318768003041804;0,454023998731347;0,2995841244821;0,338614801688917;0,308640314384647;0,081961349872401;0,0132175865298991;0,0166716627566529;0,00646719069526613;0,00379449496365518;0,0476187968953455;0,0408399674673586;0,0155587669991286;0,0315633689726569;0,0137424233930171;0,0807873963734848;0,254489276060622;0,00523217889244759
"classe 10";-7,1385466914138;0,158491723195909;-1,69721571189269;-0,686668839023292;1,40480335202202;2,06960332071757;-0,917063604636376;0,0203608657703246;-0,218035242448704;-0,0882138939377672;0,180470070660199;0,265874548911688;0,984335715733424;3,52418814165176e-05;0,00125132314931272;8,67048400190788e-05;0,000225630762429968;0,000436313091678127;0,0538588091189958;2,65491310992329e-05;0,00304446667524037;0,000498346963818709;0,00208577859930884;0,00452700904858492;0,00105690788387225;4,91649332400905;0,0255474786590752
