"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,466911469124849;87,7581168570757;87,7581168570757
"facteur 2";0,0339122666587064;6,37396349655161;94,1320803536273
"facteur 3";0,0105004110285258;1,97359962010763;96,1056799737349
"facteur 4";0,00444487517903642;0,835434340707297;96,9411143144422
"facteur 5";0,00276361886631715;0,519434632593761;97,460548947036
"facteur 6";0,00246226576503229;0,462793957805096;97,9233429048411
"facteur 7";0,00228809893902522;0,430058517191477;98,3534014220326
"facteur 8";0,00194610623011111;0,365779444823846;98,7191808668564
"facteur 9";0,00169621335079881;0,318810950891701;99,0379918177481
"facteur 10";0,00152350641645821;0,286349903502357;99,3243417212505
"facteur 11";0,000883346291599896;0,166028920276447;99,4903706415269
"facteur 12";0,000735935659019321;0,138322426914378;99,6286930684413
"facteur 13";0,000516080808999407;0,0969997160891198;99,7256927845304
"facteur 14";0,000503027957858019;0,0945463738357563;99,8202391583662
"facteur 15";0,000323160695883862;0,0607395105674875;99,8809786689337
"facteur 16";0,000214358535421517;0,0402896537026444;99,9212683226363
"facteur 17";0,000162126976184023;0,0304724965276818;99,951740819164
"facteur 18";0,000133706902472629;0,0251308154708298;99,9768716346348
"facteur 19";7,75686572371831e-05;0,0145793790395133;99,9914510136743
"facteur 20";4,54843370369052e-05;0,00854898632567968;100
