"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"révolution";-0,103730475103935;-0,00451643939549857;-0,999053473675901;-0,0434989279881198;0,99873537568927;0,00126462431068711;0,000166845203373752;3,16295756598681e-07;0,0155060432706783;0,0597885171607261;5,5428937835278e-05
"p";0,419518912336546;0,0903068901151292;0,977606251350224;0,210442432320487;0,969978509432994;0,0300214905670955;0,000425815373852732;1,97314964139302e-05;0,00241945890145813;0,24536189650689;0,000145657378359585
"article";0,24777858168996;0,807772264913037;0,293256762065455;0,956033718810631;0,123475864655983;0,876524135344017;0,000266053087168782;0,00282760442256638;0,00433351972127833;0,406171415597459;0,000714923364401939
"premier";-0,268562085616909;0,192176951896248;-0,813236351600659;0,581933532660947;0,745148372949229;0,25485162705077;0,000540577432364189;0,000276803202778318;0,00749494601918362;0,179209056805746;0,000240706832237084
"état";0,0233849050939444;-0,463371228070142;0,0504027459048307;-0,998728973848888;0,00379864553819271;0,996201354461806;3,94574917819712e-06;0,00154923171477449;0,00721536410168179;0,218553546625297;0,000344646576091602
"politique";0,33027764133945;0,0471630863693163;0,989957647010244;0,141364271037419;0,986562998581226;0,0134370014187753;0,000554823976670167;1,13136126995897e-05;0,00508624026839864;0,191537314879755;0,000186596572270924
"français";-0,147587528134092;-0,258697581705341;-0,495532216339056;-0,868589559325982;0,327633952707412;0,672366047292589;7,16731473287429e-05;0,00022021246361928;0,00329046410598305;0,148522359588373;7,2583990032857e-05
"grand";-0,513200595829224;-0,318019580026725;-0,850024906169479;-0,526742497707911;0,795869937208357;0,204130062791644;0,00135658043245931;0,000520929514401687;0,00515075917243752;0,331362023598803;0,000565557429753898
"guerre";0,573252748924415;-1,39638533717235;0,379769958825361;-0,92508095774034;0,20148153176956;0,798518468230439;0,00143114305164208;0,00849183044429141;0,00435502602262463;0,735639695483925;0,00235679097419815
"france";-0,324297838877061;0,280436117727759;-0,756406665185519;0,65410164107952;0,666901370067608;0,333098629932391;0,000482893895481977;0,000361103334400348;0,00459159533743387;0,228744089749832;0,000240249985163552
"the";0,110852750630258;0,413155808048516;0,259141804076597;0,965839285481765;0,0972927947317398;0,90270720526826;9,11754193985005e-06;0,000126652144167183;0,000741967396447159;0,204711747913493;3,10935532886578e-05
"siècle";-1,53869503011556;0,353459507401576;-0,974616078939697;0,223882778864768;0,965954300062836;0,034045699937165;0,0108200623486332;0,000570957782413651;0,00457008903608757;0,901801374484008;0,00371660534414415
"partir";0,869312619461103;-0,791622623919528;0,739373203838368;-0,673295823131101;0,643550234704817;0,356449765295183;0,00304732635148686;0,00252698924698873;0,00403243150243021;0,624196586817929;0,00157112152268035
"pari";0,614552519080503;-0,738008377185094;0,639905085802969;-0,768453955135566;0,509361199655237;0,490638800344761;0,00093407462367074;0,00134705754981867;0,00247322465482386;0,49600117496215;0,000608455719382356
"revolution";-0,138162164172609;0,100402914143459;-0,808955106358469;0,58787042441048;0,739244296105239;0,260755703894761;1,23158739787898e-05;6,50398630166808e-06;0,000645189040388834;0,0925617950301229;5,52777704365682e-06
"industriel";-1,6805363527466;0,492047147798467;-0,959709251590915;0,28099493306963;0,945841404942781;0,0541585950572194;0,00996105636793124;0,000853931457002095;0,00352703342079229;0,995348995496395;0,00349430122037619
"histoire";-0,418575442080048;-0,251115900695556;-0,857519464880386;-0,514451520895075;0,806192296841698;0,193807703158303;0,000444626377136133;0,000160028067415642;0,00253774355886275;0,268528913373816;0,000182991047431959
"social";-0,576967705776574;0,132616447450591;-0,974586955688052;0,224009521678646;0,96591508836992;0,0340849116300803;0,001267190778767;6,69474088733176e-05;0,00380661533829412;0,338157218232696;0,000435287622069529
