"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2870";"7510";"38.22";"****";""
"  7";"328";" 2.13";"-189.11";"industriel";"4.967755e-43"
" 30";"425";" 7.06";"-185.22";"siècle";"3.521815e-42"
"  4";"201";" 1.99";"-114.79";"technique";"8.764451e-27"
"  2";"154";" 1.30";" -90.75";"agriculture";"1.629289e-21"
"  6";"171";" 3.51";" -89.27";"tunisie";"3.442182e-21"
"  5";"165";" 3.03";" -88.46";"numérique";"5.192481e-21"
"  6";"161";" 3.73";" -82.89";"xixe";"8.694401e-20"
"  7";"164";" 4.27";" -81.83";"production";"1.481145e-19"
"  5";"154";" 3.25";" -81.43";"agricole";"1.819269e-19"
"  4";"137";" 2.92";" -73.63";"ali";"9.428198e-18"
"  4";"127";" 3.15";" -67.28";"machine";"2.359315e-16"
"  5";"130";" 3.85";" -66.18";"industrie";"4.106754e-16"
" 60";"344";"17.44";" -65.89";"monde";"4.762131e-16"
"  7";"132";" 5.30";" -61.64";"tunisien";"4.117877e-15"
" 13";"154";" 8.44";" -59.03";"développement";"1.552326e-14"
" 43";"268";"16.04";" -57.86";"société";"2.817225e-14"
"  7";"125";" 5.60";" -57.27";"humain";"3.797533e-14"
"  4";"101";" 3.96";" -50.88";"progrès";"9.824425e-13"
"  4";"101";" 3.96";" -50.88";"xviiie";"9.824425e-13"
"  6";"109";" 5.50";" -50.12";"science";"1.443201e-12"
" 19";"163";"11.66";" -49.78";"économie";"1.722406e-12"
"  1";" 80";" 1.25";" -46.80";"croissance";"7.872841e-12"
"  5";" 98";" 5.10";" -46.11";"industrialisation";"1.116138e-11"
" 42";"240";"17.50";" -45.06";"travail";"1.910351e-11"
"  2";" 79";" 2.53";" -43.06";"scientifique";"5.315543e-11"
"  0";" 67";" 0.00";" -41.81";"vapeur";"1.003380e-10"
"  1";" 71";" 1.41";" -41.13";"démographique";"1.426264e-10"
"  0";" 64";" 0.00";" -39.93";"tunis";"2.637067e-10"
" 15";"127";"11.81";" -38.15";"système";"6.563269e-10"
" 46";"235";"19.57";" -35.70";"ligne";"2.298110e-09"
"  1";" 62";" 1.61";" -35.47";"informatique";"2.585794e-09"
" 11";"105";"10.48";" -34.70";"processus";"3.838015e-09"
"  5";" 77";" 6.49";" -33.16";"transition";"8.501628e-09"
"  0";" 53";" 0.00";" -33.02";"charbon";"9.143529e-09"
"  8";" 89";" 8.99";" -32.58";"évolution";"1.141063e-08"
"  6";" 79";" 7.59";" -31.71";"internet";"1.794300e-08"
" 25";"153";"16.34";" -31.65";"effet";"1.841545e-08"
"  0";" 49";" 0.00";" -30.51";"néolithique";"3.326232e-08"
" 12";"101";"11.88";" -30.07";"fer";"4.167397e-08"
"  4";" 67";" 5.97";" -29.77";"galilée";"4.863273e-08"
"  0";" 47";" 0.00";" -29.25";"innovation";"6.347839e-08"
"  0";" 46";" 0.00";" -28.63";"invention";"8.770762e-08"
" 44";"213";"20.66";" -28.62";"permettre";"8.789661e-08"
"  0";" 45";" 0.00";" -28.00";"iouchtchenko";"1.212002e-07"
"  8";" 81";" 9.88";" -27.85";"ellul";"1.309915e-07"
" 59";"260";"22.69";" -27.49";"janvier";"1.581442e-07"
"  0";" 44";" 0.00";" -27.38";"ordinateur";"1.675051e-07"
"  9";" 84";"10.71";" -27.21";"angleterre";"1.823574e-07"
"  3";" 58";" 5.17";" -27.03";"âge";"2.003491e-07"
" 19";"122";"15.57";" -26.93";"utiliser";"2.113391e-07"
"  0";" 43";" 0.00";" -26.75";"viktor";"2.315342e-07"
"  0";" 43";" 0.00";" -26.75";"augmentation";"2.315342e-07"
"  7";" 74";" 9.46";" -26.17";"activité";"3.119293e-07"
"  1";" 47";" 2.13";" -26.09";"liésportail";"3.263019e-07"
" 15";"105";"14.29";" -25.83";"développer";"3.734794e-07"
"  2";" 51";" 3.92";" -25.58";"étude";"4.250783e-07"
"  1";" 46";" 2.17";" -25.46";"favoriser";"4.508186e-07"
" 18";"115";"15.65";" -25.18";"exemple";"5.216088e-07"
" 25";"140";"17.86";" -25.04";"consulter";"5.608496e-07"
"  0";" 40";" 0.00";" -24.87";"afp";"6.120666e-07"
" 30";"157";"19.11";" -24.79";"notamment";"6.377104e-07"
"  1";" 44";" 2.27";" -24.22";"moteur";"8.608773e-07"
"  9";" 78";"11.54";" -23.76";"entreprise";"1.092991e-06"
"  2";" 48";" 4.17";" -23.72";"capital";"1.114151e-06"
"  5";" 61";" 8.20";" -23.47";"libéralisme";"1.267668e-06"
"  8";" 73";"10.96";" -23.20";"marché";"1.463748e-06"
"  8";" 73";"10.96";" -23.20";"etc";"1.463748e-06"
"  0";" 37";" 0.00";" -23.00";"mohamed";"1.620784e-06"
"  3";" 51";" 5.88";" -22.74";"phénomène";"1.858679e-06"
" 11";" 84";"13.10";" -22.70";"moderne";"1.889866e-06"
"  7";" 68";"10.29";" -22.66";"oeuvre";"1.935629e-06"
"  4";" 55";" 7.27";" -22.47";"privé";"2.137026e-06"
"  4";" 54";" 7.41";" -21.86";"page";"2.925676e-06"
"  0";" 35";" 0.00";" -21.75";"technologique";"3.105782e-06"
" 10";" 78";"12.82";" -21.53";"xxe";"3.486242e-06"
"  7";" 66";"10.61";" -21.50";"réseau";"3.543689e-06"
"  7";" 66";"10.61";" -21.50";"chemin";"3.543689e-06"
" 12";" 85";"14.12";" -21.14";"expression";"4.258209e-06"
" 12";" 85";"14.12";" -21.14";"domaine";"4.258209e-06"
"  0";" 34";" 0.00";" -21.13";"copernicien";"4.300949e-06"
"  0";" 34";" 0.00";" -21.13";"sidi";"4.300949e-06"
"  1";" 39";" 2.56";" -21.10";"émergence";"4.350267e-06"
"  3";" 48";" 6.25";" -20.91";"énergie";"4.823358e-06"
"  4";" 52";" 7.69";" -20.66";"orange";"5.480020e-06"
"  0";" 33";" 0.00";" -20.50";"bouzid";"5.957752e-06"
"  1";" 38";" 2.63";" -20.48";"secteur";"6.018416e-06"
"  2";" 42";" 4.76";" -20.02";"philosophie";"7.665128e-06"
"  2";" 42";" 4.76";" -20.02";"technologie";"7.665128e-06"
"  0";" 32";" 0.00";" -19.88";"copernic";"8.255332e-06"
" 10";" 75";"13.33";" -19.86";"lier";"8.311707e-06"
"  1";" 37";" 2.70";" -19.86";"conception";"8.328108e-06"
" 14";" 90";"15.56";" -19.81";"ouvrage";"8.553425e-06"
"  3";" 46";" 6.52";" -19.69";"maladie";"9.104692e-06"
" 26";"132";"19.70";" -19.52";"époque";"9.979015e-06"
"  2";" 41";" 4.88";" -19.40";"possible";"1.057348e-05"
" 96";"354";"27.12";" -19.38";"social";"1.073345e-05"
"  0";" 31";" 0.00";" -19.25";"rendement";"1.144276e-05"
"  9";" 70";"12.86";" -19.24";"milieu";"1.150335e-05"
"  1";" 36";" 2.78";" -19.24";"brevet";"1.152697e-05"
"  1";" 36";" 2.78";" -19.24";"xviie";"1.152697e-05"
"  2";" 40";" 5.00";" -18.79";"inventer";"1.458651e-05"
"  9";" 69";"13.04";" -18.69";"financier";"1.538843e-05"
"  0";" 30";" 0.00";" -18.63";"productivité";"1.586654e-05"
"  3";" 44";" 6.82";" -18.48";"traduction";"1.717977e-05"
"  5";" 52";" 9.62";" -18.14";"utilisation";"2.052190e-05"
"  0";" 29";" 0.00";" -18.01";"fabriquer";"2.200902e-05"
"  0";" 29";" 0.00";" -18.01";"essor";"2.200902e-05"
"  0";" 29";" 0.00";" -18.01";"el";"2.200902e-05"
"  1";" 34";" 2.94";" -18.00";"mécanique";"2.210028e-05"
"122";"427";"28.57";" -17.83";"france";"2.409243e-05"
"114";"403";"28.29";" -17.78";"article";"2.484079e-05"
"  4";" 47";" 8.51";" -17.68";"structure";"2.620134e-05"
"  9";" 67";"13.43";" -17.59";"capitalisme";"2.747015e-05"
"  2";" 38";" 5.26";" -17.56";"animal";"2.776714e-05"
" 27";"131";"20.61";" -17.50";"publier";"2.871313e-05"
" 57";"228";"25.00";" -17.39";"économique";"3.038743e-05"
"  1";" 33";" 3.03";" -17.38";"philosophe";"3.061457e-05"
" 17";" 95";"17.89";" -16.83";"information";"4.093420e-05"
"  1";" 32";" 3.12";" -16.76";"arabe";"4.242260e-05"
"  1";" 32";" 3.12";" -16.76";"technicien";"4.242260e-05"
"  0";" 27";" 0.00";" -16.76";"web";"4.240271e-05"
"  0";" 27";" 0.00";" -16.76";"manufacture";"4.240271e-05"
"  0";" 27";" 0.00";" -16.76";"abus";"4.240271e-05"
"  0";" 27";" 0.00";" -16.76";"économiste";"4.240271e-05"
"  0";" 27";" 0.00";" -16.76";"environnement";"4.240271e-05"
"  3";" 41";" 7.32";" -16.67";"mode";"4.449287e-05"
" 22";"112";"19.64";" -16.61";"moyen";"4.589783e-05"
"  7";" 57";"12.28";" -16.36";"modèle";"5.232367e-05"
"  6";" 53";"11.32";" -16.35";"usage";"5.259800e-05"
"217";"697";"31.13";" -16.32";"premier";"5.345311e-05"
" 36";"158";"22.78";" -16.28";"vie";"5.474605e-05"
"  0";" 26";" 0.00";" -16.14";"univers";"5.889777e-05"
"  2";" 35";" 5.71";" -15.73";"traduire";"7.298228e-05"
"  0";" 25";" 0.00";" -15.52";"consommation";"8.185272e-05"
" 13";" 78";"16.67";" -15.50";"terme";"8.245351e-05"
"  3";" 39";" 7.69";" -15.47";"profit";"8.385452e-05"
" 98";"347";"28.24";" -15.33";"année";"9.040745e-05"
"  1";" 29";" 3.45";" -14.90";"rcd";"1.131213e-04"
"  0";" 24";" 0.00";" -14.89";"magazine";"1.138194e-04"
"  0";" 24";" 0.00";" -14.89";"newton";"1.138194e-04"
"  3";" 38";" 7.89";" -14.87";"notion";"1.150924e-04"
" 12";" 73";"16.44";" -14.81";"manifestant";"1.191179e-04"
"  8";" 58";"13.79";" -14.77";"usine";"1.217184e-04"
"  7";" 54";"12.96";" -14.69";"découverte";"1.267093e-04"
"  6";" 50";"12.00";" -14.65";"présidentiel";"1.293494e-04"
"  2";" 33";" 6.06";" -14.51";"matériel";"1.390742e-04"
" 15";" 83";"18.07";" -14.42";"région";"1.460196e-04"
"  1";" 28";" 3.57";" -14.29";"descartes";"1.569933e-04"
"  1";" 28";" 3.57";" -14.29";"plante";"1.569933e-04"
"  1";" 28";" 3.57";" -14.29";"fortement";"1.569933e-04"
"  0";" 23";" 0.00";" -14.27";"macron";"1.583693e-04"
"  0";" 23";" 0.00";" -14.27";"acier";"1.583693e-04"
"  0";" 23";" 0.00";" -14.27";"domestication";"1.583693e-04"
"  0";" 23";" 0.00";" -14.27";"ghannouchi";"1.583693e-04"
"  0";" 23";" 0.00";" -14.27";"taille";"1.583693e-04"
"  8";" 57";"14.04";" -14.22";"méthode";"1.623526e-04"
"  6";" 49";"12.24";" -14.09";"rural";"1.743306e-04"
" 30";"133";"22.56";" -14.06";"idée";"1.769103e-04"
"  2";" 32";" 6.25";" -13.91";"électricité";"1.920171e-04"
" 22";"106";"20.75";" -13.88";"critique";"1.945037e-04"
"  3";" 36";" 8.33";" -13.68";"japon";"2.167012e-04"
"  1";" 27";" 3.70";" -13.67";"fabrication";"2.179813e-04"
"  1";" 27";" 3.70";" -13.67";"domestiquer";"2.179813e-04"
"  1";" 27";" 3.70";" -13.67";"distinguer";"2.179813e-04"
"  0";" 22";" 0.00";" -13.65";"bateau";"2.205067e-04"
"  0";" 22";" 0.00";" -13.65";"japy";"2.205067e-04"
