"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"2870";"7510";"38.22";"****";""
"302";"405";" 74.57";"239.59";"guerre";"4.827307e-54"
"187";"219";" 85.39";"212.60";"armée";"3.730029e-48"
"150";"171";" 87.72";"181.62";"république";"2.151491e-41"
"126";"137";" 91.97";"170.78";"rouge";"4.999675e-39"
"121";"134";" 90.30";"156.74";"communiste";"5.820685e-36"
"195";"259";" 75.29";"156.16";"révolutionnaire";"7.828396e-36"
"107";"113";" 94.69";"154.97";"mao";"1.421323e-35"
"256";"375";" 68.27";"150.96";"partir";"1.067158e-34"
" 95";"100";" 95.00";"138.41";"roi";"5.937142e-32"
" 99";"109";" 90.83";"129.66";"bolchevik";"4.873480e-30"
"106";"121";" 87.60";"127.04";"assemblée";"1.816678e-29"
"129";"160";" 80.62";"124.53";"populaire";"6.449157e-29"
"119";"144";" 82.64";"122.71";"juillet";"1.616264e-28"
" 79";" 82";" 96.34";"118.63";"soviet";"1.261272e-27"
" 89";"100";" 89.00";"110.70";"chinois";"6.872452e-26"
" 75";" 79";" 94.94";"108.79";"congrès";"1.804579e-25"
"113";"141";" 80.14";"106.98";"civil";"4.498254e-25"
"121";"155";" 78.06";"106.44";"septembre";"5.909263e-25"
"127";"168";" 75.60";"101.69";"octobre";"6.489539e-24"
"119";"154";" 77.27";"101.58";"culturel";"6.872545e-24"
" 72";" 77";" 93.51";"100.73";"lénine";"1.055014e-23"
" 80";" 91";" 87.91";" 96.35";"campagne";"9.612056e-23"
" 61";" 63";" 96.83";" 92.43";"convention";"6.971166e-22"
" 87";"104";" 83.65";" 92.22";"coup";"7.767842e-22"
" 56";" 56";"100.00";" 91.22";"garde";"1.287648e-21"
" 61";" 64";" 95.31";" 89.13";"décret";"3.706112e-21"
" 61";" 64";" 95.31";" 89.13";"député";"3.706112e-21"
" 61";" 64";" 95.31";" 89.13";"troupe";"3.706112e-21"
" 78";" 92";" 84.78";" 85.54";"comité";"2.269199e-20"
"208";"338";" 61.54";" 81.54";"gouvernement";"1.719928e-19"
" 87";"109";" 79.82";" 81.07";"août";"2.178778e-19"
" 51";" 52";" 98.08";" 79.47";"insurrection";"4.901171e-19"
" 54";" 57";" 94.74";" 77.71";"bolchevique";"1.192446e-18"
" 52";" 54";" 96.30";" 77.71";"soldat";"1.194131e-18"
" 56";" 61";" 91.80";" 74.80";"terreur";"5.218857e-18"
" 71";" 85";" 83.53";" 74.77";"chine";"5.300705e-18"
" 56";" 62";" 90.32";" 71.89";"journée";"2.276598e-17"
" 89";"118";" 75.42";" 70.29";"russe";"5.111482e-17"
"119";"173";" 68.79";" 70.09";"général";"5.668673e-17"
"108";"153";" 70.59";" 69.32";"juin";"8.368148e-17"
" 56";" 63";" 88.89";" 69.09";"soviétique";"9.391801e-17"
" 74";" 93";" 79.57";" 68.20";"militaire";"1.473843e-16"
" 55";" 62";" 88.71";" 67.51";"gauche";"2.099057e-16"
"126";"189";" 66.67";" 66.47";"national";"3.558301e-16"
" 91";"126";" 72.22";" 62.77";"peuple";"2.328091e-15"
"145";"230";" 63.04";" 61.94";"pari";"3.535587e-15"
" 83";"113";" 73.45";" 60.33";"constitution";"8.036763e-15"
" 68";" 88";" 77.27";" 57.53";"blanc";"3.331914e-14"
" 37";" 38";" 97.37";" 56.60";"massacre";"5.341358e-14"
" 48";" 55";" 87.27";" 56.47";"monarchie";"5.698912e-14"
"113";"172";" 65.70";" 56.31";"force";"6.197898e-14"
" 34";" 34";"100.00";" 55.22";"petrograd";"1.078416e-13"
" 55";" 67";" 82.09";" 55.11";"provisoire";"1.137667e-13"
"114";"175";" 65.14";" 55.02";"mars";"1.191721e-13"
" 40";" 43";" 93.02";" 55.02";"front";"1.192917e-13"
" 36";" 37";" 97.30";" 54.97";"mfa";"1.223426e-13"
" 32";" 32";"100.00";" 51.96";"zedong";"5.674165e-13"
"110";"170";" 64.71";" 51.69";"avril";"6.485222e-13"
" 30";" 30";"100.00";" 48.70";"robespierre";"2.988346e-12"
" 32";" 33";" 96.97";" 48.46";"sr";"3.371385e-12"
" 47";" 57";" 82.46";" 47.61";"déclaration";"5.199054e-12"
" 42";" 49";" 85.71";" 47.13";"bataille";"6.649486e-12"
" 29";" 29";"100.00";" 47.07";"girondin";"6.860922e-12"
" 35";" 38";" 92.11";" 46.98";"trotski";"7.186227e-12"
" 50";" 63";" 79.37";" 45.56";"répression";"1.478618e-11"
" 28";" 28";"100.00";" 45.44";"faction";"1.575719e-11"
" 99";"154";" 64.29";" 45.26";"mort";"1.728450e-11"
" 51";" 65";" 78.46";" 44.98";"refuser";"1.991537e-11"
" 45";" 55";" 81.82";" 44.61";"conflit";"2.401461e-11"
" 52";" 67";" 77.61";" 44.44";"chef";"2.625208e-11"
"109";"175";" 62.29";" 43.97";"loi";"3.342481e-11"
" 43";" 52";" 82.69";" 43.87";"tenir";"3.509932e-11"
" 31";" 33";" 93.94";" 43.59";"boston";"4.049188e-11"
" 29";" 30";" 96.67";" 43.58";"officier";"4.062354e-11"
" 36";" 41";" 87.80";" 42.94";"constituant";"5.657922e-11"
" 40";" 48";" 83.33";" 41.65";"soulèvement";"1.092548e-10"
" 50";" 65";" 76.92";" 41.61";"masse";"1.116510e-10"
" 59";" 81";" 72.84";" 41.57";"demander";"1.134810e-10"
" 51";" 67";" 76.12";" 41.13";"socialiste";"1.420817e-10"
" 64";" 91";" 70.33";" 40.23";"québec";"2.251817e-10"
"182";"333";" 54.65";" 39.88";"prendre";"2.698790e-10"
" 37";" 44";" 84.09";" 39.45";"proclamer";"3.366696e-10"
" 61";" 86";" 70.93";" 39.43";"lutte";"3.394836e-10"
" 24";" 24";"100.00";" 38.93";"sans_culotte";"4.402260e-10"
" 26";" 27";" 96.30";" 38.71";"montagnard";"4.906355e-10"
" 26";" 27";" 96.30";" 38.71";"liu";"4.906355e-10"
" 29";" 32";" 90.62";" 37.39";"moscou";"9.694971e-10"
" 23";" 23";"100.00";" 37.30";"élu";"1.013418e-09"
" 23";" 23";"100.00";" 37.30";"exécution";"1.013418e-09"
" 44";" 57";" 77.19";" 36.96";"dirigeant";"1.208172e-09"
" 35";" 42";" 83.33";" 36.41";"capitale";"1.596292e-09"
" 22";" 22";"100.00";" 35.67";"clergé";"2.334428e-09"
" 26";" 28";" 92.86";" 35.54";"jacobin";"2.500034e-09"
"130";"228";" 57.02";" 35.21";"régime";"2.967598e-09"
" 40";" 51";" 78.43";" 35.17";"décider";"3.017965e-09"
" 49";" 67";" 73.13";" 34.91";"garder";"3.451473e-09"
" 29";" 33";" 87.88";" 34.62";"portugal";"4.000026e-09"
" 35";" 43";" 81.40";" 34.15";"xvi";"5.100367e-09"
" 23";" 24";" 95.83";" 33.85";"deng";"5.944967e-09"
" 36";" 45";" 80.00";" 33.48";"résistance";"7.216287e-09"
" 57";" 83";" 68.67";" 32.98";"autorité";"9.323975e-09"
" 51";" 72";" 70.83";" 32.76";"indépendance";"1.044429e-08"
"160";"296";" 54.05";" 32.74";"mouvement";"1.054440e-08"
" 20";" 20";"100.00";" 32.42";"duplessis";"1.241482e-08"
" 20";" 20";"100.00";" 32.42";"monarchiste";"1.241482e-08"
" 20";" 20";"100.00";" 32.42";"menchevik";"1.241482e-08"
"103";"175";" 58.86";" 32.33";"droit";"1.299312e-08"
" 24";" 26";" 92.31";" 32.33";"camp";"1.299919e-08"
" 24";" 26";" 92.31";" 32.33";"anarchiste";"1.299919e-08"
" 24";" 26";" 92.31";" 32.33";"prague";"1.299919e-08"
" 24";" 26";" 92.31";" 32.33";"exécuter";"1.299919e-08"
" 32";" 39";" 82.05";" 31.91";"républicain";"1.618976e-08"
" 57";" 84";" 67.86";" 31.61";"membre";"1.883288e-08"
" 19";" 19";"100.00";" 30.80";"shaoqi";"2.866751e-08"
" 19";" 19";"100.00";" 30.80";"pékin";"2.866751e-08"
" 19";" 19";"100.00";" 30.80";"lisbonne";"2.866751e-08"
"323";"671";" 48.14";" 30.72";"état";"2.983568e-08"
" 21";" 22";" 95.45";" 30.62";"staline";"3.143768e-08"
" 21";" 22";" 95.45";" 30.62";"chambre";"3.143768e-08"
" 74";"118";" 62.71";" 30.47";"ordre";"3.395203e-08"
" 32";" 40";" 80.00";" 29.74";"répondre";"4.950200e-08"
" 40";" 54";" 74.07";" 29.62";"paix";"5.255311e-08"
" 73";"117";" 62.39";" 29.42";"novembre";"5.814412e-08"
" 41";" 56";" 73.21";" 29.27";"vote";"6.297057e-08"
" 18";" 18";"100.00";" 29.17";"zhou";"6.626491e-08"
" 22";" 24";" 91.67";" 29.13";"patriote";"6.755955e-08"
" 46";" 66";" 69.70";" 27.95";"violence";"1.245745e-07"
" 23";" 26";" 88.46";" 27.90";"réprimer";"1.279396e-07"
" 17";" 17";"100.00";" 27.55";"jiang";"1.533486e-07"
" 21";" 23";" 91.30";" 27.54";"lin";"1.539843e-07"
" 21";" 23";" 91.30";" 27.54";"allié";"1.539843e-07"
" 21";" 23";" 91.30";" 27.54";"commandement";"1.539843e-07"
" 21";" 23";" 91.30";" 27.54";"modéré";"1.539843e-07"
" 19";" 20";" 95.00";" 27.39";"coalition";"1.666557e-07"
" 33";" 43";" 76.74";" 27.19";"urss";"1.844301e-07"
" 38";" 52";" 73.08";" 26.95";"victoire";"2.086058e-07"
" 27";" 33";" 81.82";" 26.69";"fédéral";"2.390058e-07"
" 36";" 49";" 73.47";" 25.96";"démocratie";"3.483161e-07"
" 20";" 22";" 90.91";" 25.95";"mission";"3.509017e-07"
" 20";" 22";" 90.91";" 25.95";"incident";"3.509017e-07"
" 16";" 16";"100.00";" 25.92";"hébert";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"biao";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"enlai";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"directoire";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"tchéka";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"offensive";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"insurgé";"3.553427e-07"
" 16";" 16";"100.00";" 25.92";"sino";"3.553427e-07"
" 52";" 79";" 65.82";" 25.77";"diriger";"3.843126e-07"
" 18";" 19";" 94.74";" 25.77";"rétablir";"3.841362e-07"
" 43";" 62";" 69.35";" 25.67";"constitutionnel";"4.043449e-07"
" 21";" 24";" 87.50";" 24.77";"nuit";"6.464799e-07"
" 21";" 24";" 87.50";" 24.77";"sang";"6.464799e-07"
" 24";" 29";" 82.76";" 24.46";"propagande";"7.573803e-07"
" 19";" 21";" 90.48";" 24.36";"voter";"7.994605e-07"
" 19";" 21";" 90.48";" 24.36";"nam";"7.994605e-07"
" 19";" 21";" 90.48";" 24.36";"cuba";"7.994605e-07"
" 58";" 92";" 63.04";" 24.32";"commun";"8.174743e-07"
" 65";"106";" 61.32";" 24.31";"action";"8.204087e-07"
" 15";" 15";"100.00";" 24.30";"vendée";"8.246452e-07"
" 15";" 15";"100.00";" 24.30";"qing";"8.246452e-07"
" 17";" 18";" 94.44";" 24.16";"xiaoping";"8.861795e-07"
" 17";" 18";" 94.44";" 24.16";"abattre";"8.861795e-07"
" 17";" 18";" 94.44";" 24.16";"occupation";"8.861795e-07"
" 17";" 18";" 94.44";" 24.16";"hôtel";"8.861795e-07"
" 47";" 71";" 66.20";" 23.77";"conseil";"1.086367e-06"
