"";"classe 1";"classe 2";"classe 3"
"révolution";0,544;0,089;0,078
"p";0,051;0,01;0
"article";0;0;0,161
"premier";0;0,588;0
"état";0;0;0,032
"politique";0,01;0,006;0
"français";0,227;0,007;0,487
"grand";0,434;0;0
"guerre";0;0;0
"france";0;0,928;0
"the";0,402;0,112;0,779
"siècle";0;0;0
"partir";0;0,702;0
"pari";0;0,201;0
"revolution";0,607;0,929;0,574
"industriel";0;0;0
"histoire";0,664;0;0,003
"social";0;0,005;0
"monde";0;0;0
"américain";0,744;0,245;0,63
"année";0;0,223;0
"ligne";0;0;0
"gouvernement";0;0;0
"prendre";0;0,352;0
"pays";0,289;0,076;0,024
"nouveau";0,011;0,07;0,22
"unir";0,009;0;0,808
"voir";0;0,396;0
"mettre";0,79;0,02;0,063
"mouvement";0;0,355;0
"janvier";0;0;0
"révolutionnaire";0;0;0
"société";0;0;0
"jean";0,643;0,906;0,712
"travail";0;0;0
"consulter";0;0;0
"of";0,541;0,815;0,664
"liésportail";0;0,006;0
"armée";0;0,045;0
"numérique";0;0;0
"février";0,001;0;0
"fin";0,849;0,049;0,123
"régime";0;0,004;0
"isbn";0,286;0,452;0,12
"économique";0;0,003;0
"note";0;0,029;0,043
"permettre";0;0;0
"lire";0,003;0;0
"technique";0;0;0
"avril";0;0;0
"république";0;0,01;0
"octobre";0;0,357;0
"national";0;0,053;0
"édition";0,883;0,375;0,45
"mars";0;0;0
"tunisie";0;0;0
"septembre";0;0,086;0
"mai";0;0;0
"john";0,975;0,005;0,048
"droit";0;0,184;0
"ouvrier";0;0;0,717
"jacques";0,535;0,893;0,609
"agricole";0;0;0
"loi";0;0,001;0
"début";0,861;0,011;0,115
"place";0,907;0,195;0,314
"économie";0;0;0
"homme";0,067;0,416;0,019
"général";0;0,065;0
"ancien";0,642;0;0
"juin";0;0,002;0
"femme";0,755;0,455;0,413
"europe";0,009;0,048;0
"mort";0;0,166;0
"jour";0,579;0;0
"agriculture";0;0;0
"président";0,739;0;0
"juillet";0;0,058;0
"devenir";0,35;0,002;0,227
"force";0;0,756;0
"vie";0;0,389;0
"public";0,12;0,237;0,486
"production";0;0;0
"communiste";0;0;0
"populaire";0;0,249;0
"culturel";0;0;0
"lennon";0;0,046;0,001
"and";0,725;0,739;0,568
"xixe";0;0;0
"décembre";0;0;0
"nouvelle";0,665;0,072;0,414
"population";0,205;0;0
"rester";0,334;0,108;0,041
"nombreux";0,137;0,033;0,004
"russe";0;0,001;0
"notamment";0;0,735;0
"britannique";0,711;0;0,024
"partie";0,549;0,273;0,863
"cit";0,151;0,328;0,47
"op";0,054;0,372;0,209
"science";0;0,012;0
"projet";0,54;0,968;0,57
"novembre";0;0;0
"machine";0;0;0
"utiliser";0;0,127;0
"rouge";0;0,001;0
"russie";0;0,001;0,049
"développement";0;0;0
"publier";0;0;0,373
"important";0,013;0,007;0
"effet";0;0;0
"civil";0;0,407;0
"également";0,07;0,679;0,041
"référence";0,006;0,801;0,004
"livre";0,012;0,024;0,372
"ali";0;0;0
"manifestation";0,431;0;0
"considérer";0,028;0;0
"tunisien";0;0;0
"août";0;0,992;0
"terre";0,003;0;0
"liberté";0,001;0,154;0,021
"fois";0,005;0,079;0,132
"peuple";0;0,389;0
"idée";0;0;0
"ministre";0,003;0;0
"ville";0,001;0,537;0
"détaillé";0,028;0,948;0,037
"beatles";0,411;0,082;0,689
"suite";0,136;0,152;0,015
"créer";0,643;0,004;0,014
"portail";0,313;0,801;0,419
"révolte";0,117;0;0
"mao";0;0;0
"dernier";0,105;0,325;0,024
"système";0;0;0
"temps";0,764;0,186;0,536
"sexuel";0,004;0,158;0,063
"époque";0;0;0
"élection";0,001;0;0
"international";0,519;0;0
"assemblée";0;0,135;0
"industrie";0;0,002;0
"aller";0,085;0,039;0,805
"passer";0,025;0,262;0,003
"donner";0,332;0,106;0,867
"connaître";0,003;0,003;0
"seul";0,056;0;0,422
"groupe";0,003;0,858;0,005
"constitution";0;0,337;0
"recherche";0,001;0,023;0
"constituer";0,013;0;0
"pierre";0,392;0,2;0,086
"humain";0;0,008;0
"version";0,518;0,755;0,399
"rapport";0,002;0,002;0
"lieu";0,957;0,659;0,721
"critique";0;0,681;0,001
"jeune";0,005;0,001;0
"québec";0;0,284;0
"paul";0,699;0,903;0,77
"nombre";0,137;0,346;0,425
"rendre";0,748;0,031;0,241
"parser";0,211;0,638;0,123
"output";0,211;0,638;0,123
"ordre";0;0,067;0
"mw";0,211;0,638;0,123
"crise";0,005;0,651;0,002
"exemple";0;0,064;0
"événement";0;0,14;0
"organisation";0,235;0,906;0,283
"louis";0;0,004;0,007
"face";0,002;0,318;0
"coup";0;0,347;0
"allemagne";0,902;0,088;0,195
"réforme";0;0,301;0,002
"traiter";0,959;0,001;0,029
"question";0,02;0,049;0
"long";0,039;0,266;0,005
"chinois";0;0,001;0
"paysan";0;0;0,154
"libre";0,616;0,218;0,182
"chanson";0,37;0,083;0,039
"part";0,003;0,03;0
"moyen";0;0,002;0
"i";0,211;0,347;0,57
"fr";0,009;0;0,001
"action";0;0,313;0
"blanc";0;0,027;0
"presse";0,002;0,008;0
"no";0,772;0;0,026
"bolchevik";0;0;0
"période";0,195;0,001;0,279
"progrès";0;0;0
"lien";0,002;0,061;0
"michel";0,563;0,788;0,455
"fer";0;0,001;0
"développer";0;0;0
"comité";0;0,269;0
"titre";0,81;0,18;0,49
"ellul";0;0,003;0
"saint";0,935;0,027;0,15
"roi";0;0;0
"appeler";0,175;0,091;0,013
"raison";0;0,053;0
