*titre_Revolution-X;5;0;3
*titre_Revolution-tunisienne-de-2010-2011;68;529;40
*titre_Revolution-(film,-2009);1;0;2
*titre_Revolution-scientifique;0;0;21
*titre_Revolution-orange;24;125;9
*titre_Revolution-kirghize-de-2010;13;25;7
*titre_Revolution-(film,-1985);0;0;4
*titre_Revolution-industrielle;40;8;1220
*titre_Revolution-française-de-1848;83;6;21
*titre_Revolution-tranquille;117;11;51
*titre_Revolution-909;1;0;1
!;9;2;3
*titre_Revolution-(revue-de-Jacques-Vergès);7;2;1
*titre_Revolution-copernicienne;17;8;262
*titre_Revolution-americaine;241;2;123
*titre_Revolution-sexuelle;148;138;250
*titre_Revolution-du-Cèdre;8;3;2
*titre_Revolution-russe;566;5;103
*titre_Revolutions-de-couleur;23;18;6
*titre_Revolution-française;529;8;64
*titre_Revolution-(catch);4;7;4
*titre_Revolution-sociale;16;4;21
*titre_Revolution-(chanson);72;15;60
*titre_Revolutions-(roman);2;0;5
*titre_Revolution-de-velours;56;10;9
*titre_Revolution-des-Œillets;124;6;9
*titre_Revolution-neolithique;5;1;204
*titre_Revolution-(Ève-Angeli);0;0;0
*titre_Revolution-numerique;18;13;466
*titre_Revolution-(politique-et-sociale);241;17;363
*titre_Revolution-(serie-televisee);39;5;17
*titre_Revolution-(album-de-Sirsy);0;0;0
*titre_Revolution-verte;6;3;123
*titre_Revolutions-(album);0;0;5
*titre_Revolution-culturelle;343;9;26
*titre_Revolution-9;0;1;3
*titre_Revolution-des-Roses;4;7;2
*titre_Revolution-des-Tulipes;19;20;1
*titre_Revolution-(Pleasure-Beach,-Blackpool);2;0;7
*titre_Revolution-(hebdomadaire);3;1;3
*titre_Revolution;9;2;3
*titre_Revolutionnaire-(homonymie);6;0;0
*titre_Revolution-(essai);9;22;21
*titre_Revolution-agricole;1;0;67
