"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"marxisme";-0,30027349644914;-0,326136433708991;-0,500572297037564;-0,0596268993876683;0,266549634780382;-1,55315109198427;-0,175302503612693;-0,190401530686492;-0,292238835420178;-0,0348107470986568;0,155614194614624;-0,906744278577205;0,00239946066573563;0,00250230138086812;0,00465624737248193;5,93060204132488e-05;0,00109819068651787;0,0325144781055297;9,13107751173368e-06;1,0771759866711e-05;2,53759114007356e-05;3,60058012964365e-07;7,19522221337777e-06;0,000244295484754611;0,000101271682990697;2,94325609904881;0,000877291926507375
"sécurité";-0,328358300916294;-0,282836449783724;1,33601618576584;-0,0524949412638934;-1,08792580365695;-0,0852695039046287;-0,184530253067281;-0,158947958707299;0,750812159075587;-0,0295010199807549;-0,611390737822154;-0,0479196143070974;0,0114605569857693;0,00751695286201989;0,132481719084602;0,000183602812870003;0,0730718697793101;0,000391441565700882;1,52086477967795e-05;1,1284059242937e-05;0,000251778152430172;3,88713399233536e-07;0,000166952588996984;1,02560959603275e-06;0,000141056987022757;1,47269565799191;0,000305928977957717
"lors";0,0938358375702106;0,222151372080714;0,248962014575289;-0,419161324282806;0,0785000028709898;-0,983041181924478;0,083319428552694;0,197254331108971;0,221060240126484;-0,372184902005084;0,0697023178985519;-0,872869381705339;0,00445880863630648;0,0220922887416882;0,0219164562749796;0,0557671523173691;0,00181243587101727;0,247853199501351;5,28658907016497e-06;2,96303024098287e-05;3,72138209098181e-05;0,000105487376551878;3,69979302536037e-06;0,00058020505436001;0,000600396406301992;0,674725598314985;0,000273333245618449
"environnement";-0,544458154132874;-0,280780891150574;-2,24266732361603;1,0638074002776;-1,59785941603746;0,154641466450327;-0,180351559226009;-0,0930085648189522;-0,742882709293877;0,352385802104105;-0,529290331899387;0,0512249277260464;0,0308299922337456;0,00724837819883705;0,365255616859803;0,0737743027210547;0,154228088037704;0,00125969690726842;2,89482805632441e-05;7,69890315010412e-06;0,000491160542958029;0,00011051463011207;0,000249327907807788;2,3353161301902e-06;9,76548371696011e-05;1,48883190817941;0,000216463709190964
"mlf";-0,225269637213079;0,0132281370075804;0,063860327814878;-0,277280220601733;-0,589190464439497;-2,01568482836979;-0,105700829952515;0,00620689533540765;0,0299644893762913;-0,130105192202609;-0,276459454819714;-0,945797942045113;0,000757801230307672;2,30998256703888e-06;4,25240934710522e-05;0,000719651881719237;0,00301094862645901;0,030730171399047;2,38604520641868e-06;8,22755354012222e-09;1,91750116072206e-07;3,61502354414828e-06;1,63224282201631e-05;0,000191037489529816;4,70189956742524e-05;3,92909813168602;0,000725870421686033
"considérable";-0,366621203666268;-0,168298012281678;-0,750667076414446;1,23929128401327;-1,15264134933084;-0,658512322824632;-0,18275632382884;-0,0838945639933549;-0,374198638630102;0,617772013605514;-0,57457804837871;-0,32826058643616;0,0229059068562053;0,00426708852438952;0,0670547981842457;0,164056642741794;0,131505120230119;0,0374291433258752;1,0209029262206e-05;2,15133114284098e-06;4,28000255055079e-05;0,000116653045453829;0,000100910807438881;3,29364739570815e-05;7,59537622430231e-05;1,16308566431187;0,000102747838981944
"whitman";-0,748177513239169;-0,384994413900617;-3,2691471922051;1,50613062597027;-1,9930929768617;1,3030466776855;-0,170154228147605;-0,0875573325570638;-0,743485613169917;0,342531671450433;-0,453279056244376;0,296345316129542;0,0234329545470667;0,0054851429572143;0,31239889418707;0,0595220285513705;0,0965861388863422;0,0360004091129586;2,02460030713078e-05;5,36091414818505e-06;0,000386544008488827;8,2045596218429e-05;0,000143676292820396;6,14115335508459e-05;3,61684582109634e-05;2,34670768308934;0,000199181035787625
"commenter";-0,556056961745748;-0,38853248684899;-0,14278449120626;-0,483823147163911;1,68665033110176;0,199015099303676;-0,293107427890968;-0,204802323695139;-0,0752642226235147;-0,255031710733565;0,889063125383063;0,104904367504418;0,0343139297525617;0,0148097564189102;0,00157985329337477;0,016283204381429;0,18336816736549;0,00222624875779216;1,4538242651209e-05;7,09786972621122e-06;9,58595586281287e-07;1,10064339727098e-05;0,000133759137643675;1,86228182014539e-06;4,70189956742524e-05;1,44129182259103;9,76735996740535e-05
"puissant";0,0192403590851791;0,0806534898724719;0,734069427129675;-0,872796900178361;-0,684177930062903;-0,59746333592399;0,0131753325472653;0,0552295591502688;0,502672989230439;-0,597670207461473;-0,468508498732858;-0,409128441976985;2,16980455552424e-05;0,000337055909162626;0,0220542012959306;0,0279869361889123;0,0159358169247805;0,0105970877661214;1,87449539509442e-08;3,29385411092595e-07;2,72855244204036e-05;3,85730892400768e-05;2,370260904715e-05;1,80750934188883e-05;5,06358414953487e-05;1,98321927101374;0,000199158799340591
"frederick";-0,718344198548284;-0,416359917809854;-2,42315398732286;1,35460537870449;-0,335625126687253;2,7760768826327;-0,178390095121807;-0,103396791528505;-0,601754244228447;0,336396093749984;-0,0833475072200828;0,689397394952319;0,0306753080348487;0,00911009551298944;0,243729766656127;0,0683729067202589;0,00388932852494064;0,232036590925053;2,05299484363209e-05;6,89700450205045e-06;0,000233606384850716;7,30042716835928e-05;4,4815847654916e-06;0,000306609537771317;3,97853040320597e-05;1,96927329494729;0,000154288893433682
