"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,457913621734569;-2,02639801042865;-1,04282187729945;3,03798537432808;-1,91214845634646;-1,9788863888364;-0,0971755715861039;-0,430029541769105;-0,221301151962255;0,644702300189879;-0,405784214278434;-0,419946921890446;0,0516399594179977;0,39147178993183;0,0242790418454764;0,180497310595433;0,0374752151746638;0,0295269260842443;0,000337957852210895;0,00661827664055927;0,00175273267498143;0,0148753356210526;0,00589302970397557;0,0063115661517777;0,00161174160101781;0,314790179206028;0,000159712079869024
"classe 2";-3,91763646443943;-0,238403167688951;2,03743829437537;1,94403596744252;-2,32060232764575;3,52779374689914;-0,610599662562509;-0,0371573256135536;0,317553490817721;0,302995879404454;-0,361687208873021;0,54983909073732;0,885745649128604;0,0012697464535436;0,0217181185802162;0,0173200827959866;0,0129343426591059;0,0219899823502563;0,0288271479368223;0,000106752352272024;0,00779690673665232;0,00709842505840791;0,0101147431097739;0,0233754393507064;0,00187825005472941;0,650279671406971;0,000794243675718648
"classe 3";-5,81804162866866;-2,00360107523809;-1,41857516879004;3,43449716443352;1,70502105385834;-4,54053903607744;-0,670934610136054;-0,231054604294858;-0,163589612891551;0,396065061597004;0,196622456327453;-0,523613439437569;0,873962893230978;0,0401230613102051;0,00471016978171903;0,024185010518772;0,0031237839655466;0,0162971596545177;0,0211568778325424;0,00250911427797772;0,00125777406864184;0,00737266080829117;0,00181701043646388;0,0128858406705041;0,000625025778347457;0,97221179481068;0,000590771724315704
"classe 4";-1,27637862834194;2,50656966809121;3,03824153904588;-0,138595710030454;2,08749036264203;-0,801899110092621;-0,27112345326104;0,532435916084774;0,645371615926632;-0,0294399692036803;0,443416697209872;-0,170336333645522;0,222845414568392;0,332687450428427;0,114467384254842;0,000208653099915299;0,0248070868436886;0,00269303417816507;0,00373705120226423;0,0144121761215383;0,0211745697717518;4,40625448273101e-05;0,00999583224628934;0,00147505924464139;0,00229387633373204;0,422384750970882;0,000409247902634076
"classe 5";-1,32578023092954;2,87781770407901;-0,359124276804088;-0,878335195339186;-0,672251748479663;0,793307536927051;-0,382381684721744;0,830020508931752;-0,103578664687544;-0,253329536757928;-0,193890925617862;0,228805849865433;0,344333952077071;0,62805189991332;0,00229043941234484;0,0120015669394299;0,00368453600303177;0,00377465859967096;0,100865192039099;0,475252928910739;0,00740095512454383;0,0442709470978333;0,0259335590933998;0,0361144830605431;0,0573849809795455;0,352949176851442;0,00714862620440334
"classe 6";-0,494105065505825;-0,735363785676052;-0,675911170880646;0,961261618727011;1,00525355767811;-0,474256752407151;-0,267917492022763;-0,398734671908295;-0,366497812660811;0,521222752095112;0,545076403425182;-0,257155185303977;0,143689074799477;0,123203151476085;0,0243756886476593;0,0431865937605826;0,0247524691315725;0,00405293771432098;0,00162121100928203;0,00359091734435437;0,00303375272951666;0,00613598283540137;0,00671045810571147;0,00149357824040175;0,00664050230498085;0,203628231833876;0,00027534482095379
"classe 7";-3,94415202872629;-0,0221087459771231;5,51868517640357;2,10719556546016;7,26709753006637;0,303631200335917;-0,387959194187643;-0,00217468576548604;0,542835225016475;0,207270380963408;0,714814561232323;0,029866119499098;0,637340620987317;7,75219573640673e-06;0,113117045940708;0,0144462326437058;0,090046831879779;0,000115641800915134;0,0128325316674973;4,03211835059975e-07;0,0251232772285237;0,00366281293100505;0,0435639277412747;7,60497593889713e-05;0,000824907118631162;0,771788681374239;0,000491362333666429
"classe 8";-3,42636645474577;-0,124138887960953;4,33251187617561;1,6412790002429;2,52917490310693;0,166418046409403;-0,544181250558891;-0,0197159457944185;0,688096781817644;0,260670675674853;0,401687787874696;0,0264307924463836;0,671095209578484;0,000341007888190516;0,0972721585161724;0,0122281837641221;0,0152179587005355;4,84702328697717e-05;0,00934916972347838;1,22721633174899e-05;0,0149480640015542;0,00214521216267239;0,00509404940025125;2,20549594648614e-05;0,000796352641447775;0,653389721480626;0,000339977379023465
"classe 9";-1,1289140325903;-0,68215411156349;2,64124874889749;2,16146383456261;2,27616181308886;2,08354994800213;-0,235856785098338;-0,142518093539694;0,55181920020127;0,451580808112141;0,475543922832585;0,435302758350898;0,290009393561892;0,0409909070706655;0,143913468630281;0,08442418567393;0,0490657839655302;0,0302451610922319;0,00143138581259591;0,000522636777851666;0,00783526291870414;0,00524723980200715;0,0058189045239012;0,00487576536018355;0,0011231427692132;0,327480463930648;0,000120449710193334
"classe 10";1,13656213931485;1,38386837072169;-0,75676195853603;0,662731406148723;-0,0134302919353938;-1,34070949572897;0,463364825178382;0,564189060578689;-0,308524154103958;0,270188854201537;-0,00547539343382482;-0,546593626176876;0,578746464056878;0,332141965783545;0,0232601802349662;0,015626355336926;3,36321817307601e-06;0,0246563677562813;0,0965345427861076;0,143115258992014;0,0427971608667019;0,0328224864599567;1,34792981708704e-05;0,134327751385506;0,0747302395086092;0,233388561763871;0,00407057264364665
"classe 11";-1,67358309468907;-0,560435245219436;1,19106931982829;-1,41321859515799;2,21587292866581;-2,60309634764903;-0,392110794965036;-0,131306721624268;0,279060621093991;-0,33110890553643;0,519166152166515;-0,60989034932674;0,510515958642997;0,0221614333388247;0,0234412813700163;0,0289077346652596;0,0372465986836131;0,0378140326840431;0,00427436239531696;0,000479322327457939;0,00216496488100722;0,00304786317231945;0,00749318548706992;0,0103408744531473;0,00152607816946765;0,365909072000805;0,00020432576519897
"classe 12";-3,39635812969027;0,32940125302187;0,450707075372124;-0,0328720573382901;0,684008430100107;-0,559631417146934;-0,955715323040346;0,0926915869647706;0,12682633623655;-0,00925000476935267;0,192475973608549;-0,157477009254876;0,974786096056058;0,00354948272947933;0,00155619362147859;7,25131467983645e-06;0,0016454603889854;0,000810297113296962;0,189505014377485;0,00178256035458167;0,00333720204646503;1,77520094788465e-05;0,00768628808617048;0,0051451486222266;0,0164283425395083;0,537389743588812;0,00474430385666864
"classe 13";-6,21430761918173;-0,0783197321219813;-4,97827686649269;4,68970719055457;2,89332789454253;-4,74780665273664;-0,576206222642852;-0,00726200242567799;-0,461598344384786;0,434841438687306;0,268276635008467;-0,440228566858782;0,804647270833529;4,94760065085715e-05;0,0468134500829403;0,0363908427855407;0,007259346212994;0,0143801641607418;0,0393298446910826;6,24710956077031e-06;0,0252403183493782;0,0223989773821182;0,00852573920882991;0,0229574044353931;0,00101844301954078;1,08223240714059;0,00119282794520068
"classe 14";-3,93953175691729;1,21390361964278;2,74262989924431;0,558002773464027;0,571342200008764;-0,700783165604623;-0,777944191101266;0,239711043780711;0,541590506209634;0,110189495356275;0,112823648355519;-0,138384515354249;0,887975910815015;0,0326371772362643;0,0390156543536195;0,0014147030805435;0,000777296536340083;0,000860274483512064;0,0558385290824292;0,0053016758479398;0,0270632014601984;0,00112025650153554;0,00117445765651918;0,0017669004408524;0,00359786412510668;0,653092312408576;0,00153459543290118
"classe 15";-6,04286878185993;-0,50586931971783;-0,168858926453086;3,47784137055725;0,683196704355584;-2,45050071016692;-0,812109589627752;-0,0679844855930944;-0,0226931873613497;0,467391967323895;0,091815760897339;-0,329326218714226;0,944964897028899;0,00256352899612368;6,68913414855298e-05;0,024855900292078;0,000502693219949757;0,00475769679417401;0,083300368287794;0,000583763954878372;6,50442097352906e-05;0,0275918062943843;0,00106476096028591;0,0136984131079329;0,00228118545498387;0,971104315325342;0,00215125732376043
