"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"marxisme";0;0;0;0;0;0;0;0;6,21;0,47;2,43;0;0;0;0;0;0;0;0,11;0,08;0;0;0;0;0;0;0;0,09;0;0;0;0;0,21;0;0,06;2,07;0;0;0;0;0;0;0
"sécurité";0;0;0;0;0;0,54;0;0;0;0,09;0;0,24;0;0;0;0;0;0,14;0;0,23;0,78;0;0;0,45;0;0,04;0,26;0,05;1,18;0;0,19;0,19;0;0;0,12;0;0;0,4;1,11;0;0;0;0,59
"lors";0;0;0;0;0,94;1,08;0;0;0;0,42;0;0,49;0;0;0;0;0;0;0,63;1,65;0,39;1,96;0;0,45;2,16;0,63;0,51;0,47;0;0,82;0,37;1,11;0,63;0;0,77;1,38;0,16;0,55;0,44;0;0;0;2,95
"environnement";0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0,11;0;0;0;0;0;0;0;0,26;0,28;0;0,55;0,37;0;0,04;0;0;0;0;0;0,22;0;0;0;0
"mlf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,77;0;0;0;0;0;0;0;0
"considérable";0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0;0;0,32;0,08;0;0;0;0;0;0,04;0;0,14;0;0,14;0,25;0,19;0;0;0,12;0;0;0,05;0;0;0;0;0
"whitman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"commenter";0;0;0;0;0;0;0;0;0;0,23;0;0;0;0;0;0;0;0,07;0;0;0;0;0;0;0;0,12;0;0;0;0;0,06;0;0,08;0;0,06;0;0;0;0;0;0;0;0
"puissant";0;0;0;0;0;0;0;0;0;0,09;0;0;0;1,07;0;0;0;0;0,11;0;0;0;0;0;0;0;0;0;0;0;0,06;0,37;0,13;0;0,06;0,69;0;0,1;0;0;0;0;0
"frederick";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,21;0;0;0;0;0;0;0;0;0;0,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";8,89;12,82;0;0;1,7;1,08;5,29;0;0;2,01;0;2,92;3,66;2,15;3,81;2,67;1,71;0,98;1,06;1,95;0,39;3,93;1,48;0,89;4,31;2;1,79;1,69;1,18;1,24;1,97;1,11;0,76;3,02;1,9;2,76;1,6;1,59;1,78;0;17,24;2,67;1,77
"écho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;0;0;0,25;0,19;0;0;0;0;0;0,3;0;0;0;0;0
"confisquer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14;0;0,08;0;0;0;0;0;0,04;0;0,05;0;0;0;0;0;0;0,12;0;0;0,2;0;0;0;0;0
"évolution";0;0;0;0;0;0;0;0;0;0,19;0;0;0;0;0;0;0,85;0,14;0,11;0;0;0;0;0;0;0,08;0,26;1,46;0;0,55;0,56;0;0,08;7,04;0,48;0,69;0,16;0;0,22;0;0;0;0
"chine";0;0;0;0;0,19;0;0;0;0;0,42;2,43;0;0;0;0;0;0;0;0;6,23;1,17;0;0;0;0;0;0;0;1,18;0,14;0;0;0,17;0;0;0;0;0,05;0;0;2,65;0;0
"devenir";0;0;0;6,88;0,57;0;0;0;0;0,75;0;0,24;0;0;0;0;0,43;0,42;0,42;0,98;0;1,96;0,74;0,67;0;0,47;0,26;0,61;0,59;0,96;1,36;0,37;0,55;0;1,25;0;1,44;0,15;2,44;0;0;0;0,59
"naturel";0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0,85;0,07;0,32;0;0;0;0;0;0;0,12;0;0,19;0;0,41;0,06;0;0,04;1,01;0,06;0;0,16;0;0;0;0;0;0
"k";0;0;0;0;0,19;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,09;0;0,27;0;0;0,04;1,01;0,12;0;0;0;0,22;0;0;0;0
"controverse";0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0;1,16;0;0;0;0;0;0;0;0;0;0;0;0;0,56;0,04;0;0,06;0;0;0;0;0;0;0;0
"quelque";0;0;0;0;0,19;0;0;0;0;0,19;0;0;0;0;0;0;0;0;0,11;0,15;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0,06;0;0,16;0,05;0;0;0;0;0
"wikimedia";0;4,27;6,49;0;0,19;0,54;0;4,93;3,11;0,09;0;0,73;3,66;1,07;1,9;2,67;0;0,14;0,11;0,15;0,78;0;0;0,45;0;0,08;0,51;0,05;1,18;0;0;0,37;0,08;0;0;0,69;0;0,1;0;5,03;1,33;2,67;0
"mêmes";0;0;0;0;0;0;0;0;0;0,05;0;0;0;0;0;0;0;0,07;0;0;0;0;0;0;0;0,04;0;0,05;0;0,14;0;0;0,17;0;0,12;0;0,16;0,15;0;0;0;0;0
"unir";0;6,41;0;3,44;2,08;0;5,29;0;0;1,12;0;4,38;0;2,15;3,81;5,35;0,43;4,26;0;0,98;3,5;0;3,71;0,67;0;0,2;0;2,45;1,78;0,14;0,56;0,93;0,59;0;1,37;0;0,16;0,25;0,44;0;0;0;5,9
"leurs";0;0;0;0;0,38;0;0;0;0;0,51;0;0,73;0;0;0;0;1,28;1,4;0,32;0,6;0,39;0;0;1,78;0;1,57;0,26;0,33;1,78;1,37;0,99;0,74;1,6;0;0,65;0,69;0,96;0,65;0,44;0;0;0;1,77
"domenach";0;0;0;0;0;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0;0,68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"menacer";0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0;0,21;0;0;0;0;0;0;0;0,12;0,26;0;0;0;0,06;0;0,13;0;0;0;0;0,05;0,22;0;0;0;0
"playboy";0;0;0;0;0,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,36;0;0;0;0;0;0;0;0
"sortie";0;0;6,49;0;0,76;1,62;0;4,93;0;0,05;0;0,97;3,66;2,15;1,9;2,67;0;0;0;0;0;1,96;0;0,67;0;0;0;0;0;0;0,06;0,19;0,04;0;0,48;0;0,64;0;0;0;1,33;0;0
"industrialiser";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"99";0;0;0;0;0,19;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0,08;0;0;0;0;0;0,08;0;0,05;0;0;0;0,37;0,04;0;0,12;0;0;0;0;0;0;0;0
"rivalité";0;0;0;0;0;0;0;0;0;0,14;0;0;0;0;0;0;0;0,07;0;0;0;0;0;0;0;0,12;0,26;0,05;0;0;0,12;0,19;0;0;0;0;0;0;0;0;0;0;0
"sortir";0;0;12,99;0;0,94;0;15,87;0;0;0,05;0;0;7,33;2,15;7,62;5,35;0;0,28;0,11;0,23;0,78;0;0,74;0,22;0;0,39;0,26;0,14;0;0;0,43;0;0,08;0;0,06;0;0,48;0,1;0;0;2,65;0;0
"déclencher";0;0;0;0;0,19;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0;0,2;0;0;0;0;0;0,19;0,17;0;0;0,69;0,48;0,1;0;0;0;0;0
"prôner";0;0;0;0;0,19;0;0;0;0;0,09;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0;0,08;0;0,05;0;0;0;0,19;0,17;0;0,18;0,69;0;0;0,22;0;0;0;0
