"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"pre";104,33;89,53;76,14;139,7;120,25;125,18;96,15;83,67;115,82;132,16;141,37;108,15;52,96;103,17;61,2;120;137,84;119,14;151,73;126,42;142,07;129,37;130,32;136,02;114,23;119,96;131,2;151,68;121,77;125,58;128,9;144,94;135,04;113,58;146,46;109,9;131,53;140,95;141,63;136,99;69,34;87,34;139,16
"ver_sup";0;8,45;0;4,15;9,95;5,26;0;3,98;14,12;9,98;2,08;5,21;6,23;6,17;2,78;8;2,99;4,17;7,82;6,3;5,19;3,5;5,4;10,26;3,75;7,21;7,34;5,54;10,54;5,08;8,09;9,61;9,76;10,65;6,34;7,25;4,94;5,67;3,81;4,57;5,86;6,55;3,62
"adj_dem";0;5,07;0;4,15;4,31;4,3;3,85;3,98;2,82;3,18;2,08;1,74;3,12;4,41;1,39;2;2,99;1,93;3,27;2,64;2,59;1,75;0,68;2,66;3,75;3;3,78;3,82;1,05;5,31;3,32;3,64;2,5;2,66;2,4;2,42;4,52;2,15;6,1;4,57;2,93;2,18;4,14
"ono";0;0;5,08;1,38;1,82;0,48;7,69;0;0;0,85;2,08;1,35;12,46;0,88;4,17;0;0,37;0,5;0,91;1,35;0,32;0;1,35;3,99;1,87;1,32;2,67;1,09;2,11;1,02;1,07;0,66;1,85;0;1,28;1,81;0,99;1,36;0;0;0;0;1,55
"pro_per";13,78;18,58;5,08;24,9;41,47;18,16;7,69;15,94;11,3;35,03;16,63;26,84;37,38;25,57;15,3;16;17,56;15,75;26,18;17,75;10,7;15,73;22,28;25,27;13,11;19,72;26,91;20,08;11,6;21,01;27,58;12,42;22,32;13,31;15,28;11,47;12,14;14,14;16,39;0;7,81;15,28;13,45
"num";88,58;82,77;157,36;20,75;44,45;70,71;30,77;35,86;39,55;36,13;62,37;81,88;174,45;64,37;132,13;44;41,09;71,9;36,36;63,4;53,84;54,2;34,44;51,48;76,78;69,72;64,71;43,85;59,04;49,12;45,3;54,5;43,4;58,56;54,17;49,52;69,29;67,38;39,27;82,19;142,58;124,45;42,94
"adv";7,87;6,76;0;6,92;9,12;4,78;3,85;0;8,47;11,97;2,08;3,48;0;4,41;4,17;2;10,09;6,6;7,55;5,27;5,51;3,5;6,08;7,03;0;5,37;5,34;9,37;12,12;10,28;10,6;9,44;8,17;5,32;7,05;5,43;8,19;5,36;12,96;0;2,93;0;2,59
"ver";72,83;43,92;55,84;95,44;76,96;64,02;88,46;71,71;79,1;80,84;89,4;57,16;62,31;60,85;51,46;84;72,1;68,41;75,27;68,93;53,52;66,43;91,15;79,6;50,56;68,92;78,94;72,71;70,11;66,06;78,88;67,91;78,44;55,01;69,09;50,72;65,9;69,84;61,95;45,66;37,11;67,69;63,63
"adj_ind";1,97;0;0;2,77;2,99;2,39;0;0;0;4,8;0;1,35;3,12;0,88;1,39;4;2,99;3,05;3,64;2,7;3,57;1,75;5,4;3,8;1,87;2,06;2,89;3,82;3,16;4,52;3,11;4,31;3,29;7,1;2,91;0;4,52;2,99;3,05;0;0;0;3,62
"adj_pos";1,97;6,76;0;6,92;10,78;13,86;3,85;3,98;5,65;6,2;0;6,18;3,12;4,41;2,78;2;4,86;3,67;10,18;5,47;3,89;6,99;9,45;6,27;1,87;5,92;5,11;4,91;7,91;2,94;5,3;6,46;5,98;5,32;6,39;4,23;6,77;5,05;4,57;4,57;3,91;4,37;3,62
