"";"*titre_Revolution";"*titre_Revolution-(Pleasure-Beach,-Blackpool)";"*titre_Revolution-(album-de-Sirsy)";"*titre_Revolution-(catch)";"*titre_Revolution-(chanson)";"*titre_Revolution-(essai)";"*titre_Revolution-(film,-1985)";"*titre_Revolution-(film,-2009)";"*titre_Revolution-(hebdomadaire)";"*titre_Revolution-(politique-et-sociale)";"*titre_Revolution-(revue-de-Jacques-Vergès)";"*titre_Revolution-(serie-televisee)";"*titre_Revolution-(Ève-Angeli)";"*titre_Revolution-9";"*titre_Revolution-909";"*titre_Revolution-X";"*titre_Revolution-agricole";"*titre_Revolution-americaine";"*titre_Revolution-copernicienne";"*titre_Revolution-culturelle";"*titre_Revolution-de-velours";"*titre_Revolution-des-Roses";"*titre_Revolution-des-Tulipes";"*titre_Revolution-des-Œillets";"*titre_Revolution-du-Cèdre";"*titre_Revolution-française";"*titre_Revolution-française-de-1848";"*titre_Revolution-industrielle";"*titre_Revolution-kirghize-de-2010";"*titre_Revolution-neolithique";"*titre_Revolution-numerique";"*titre_Revolution-orange";"*titre_Revolution-russe";"*titre_Revolution-scientifique";"*titre_Revolution-sexuelle";"*titre_Revolution-sociale";"*titre_Revolution-tranquille";"*titre_Revolution-tunisienne-de-2010-2011";"*titre_Revolution-verte";"*titre_Revolutionnaire-(homonymie)";"*titre_Revolutions-(album)";"*titre_Revolutions-(roman)";"*titre_Revolutions-de-couleur"
"marxisme";0;0;0;0;0;0;0;0;2;10;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;0;0;0;5;0;1;3;0;0;0;0;0;0;0
"sécurité";0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;2;0;3;2;0;0;2;0;1;1;2;2;0;3;1;0;0;2;0;0;8;5;0;0;0;1
"lors";0;0;0;0;15;2;0;0;0;9;0;2;0;0;0;0;0;0;6;22;1;1;0;2;1;16;2;20;0;6;6;6;15;0;13;2;1;11;2;0;0;0;5
"environnement";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;12;0;4;6;0;1;0;0;0;0;0;1;0;0;0;0
"mlf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0
"considérable";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;1;0;6;0;1;4;1;0;0;2;0;0;1;0;0;0;0;0
"whitman";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"commenter";0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0
"puissant";0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;3;0;1;1;0;2;0;0;0;0;0
"frederick";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";4;6;0;0;27;2;1;0;0;43;0;12;1;2;2;1;4;14;10;26;1;2;2;4;2;51;7;72;2;9;32;6;18;3;32;4;10;32;8;0;13;1;3
"écho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;1;0;0;0;0;0;6;0;0;0;0;0
"confisquer";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0
"évolution";0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;2;1;62;0;4;9;0;2;7;8;1;1;0;1;0;0;0;0
"chine";0;0;0;0;3;0;0;0;0;9;1;0;0;0;0;0;0;0;0;83;3;0;0;0;0;0;0;0;2;1;0;0;4;0;0;0;0;1;0;0;2;0;0
"devenir";0;0;0;4;9;0;0;0;0;16;0;1;0;0;0;0;1;6;4;13;0;1;1;3;0;12;1;26;1;7;22;2;13;0;21;0;9;3;11;0;0;0;1
"naturel";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;3;0;8;0;3;1;0;1;1;1;0;1;0;0;0;0;0;0
"k";0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;1;1;2;0;0;0;1;0;0;0;0
"controverse";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0
"quelque";0;0;0;0;3;0;0;0;0;4;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
"wikimedia";0;2;1;0;3;1;0;1;1;2;0;3;1;1;1;1;0;2;1;2;2;0;0;2;0;2;2;2;2;0;0;2;2;0;0;1;0;2;0;2;1;1;0
"mêmes";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;0;0;4;0;2;0;1;3;0;0;0;0;0
"unir";0;3;0;2;33;0;1;0;0;24;0;18;0;2;2;2;1;61;0;13;9;0;5;3;0;5;0;104;3;1;9;5;14;0;23;0;1;5;2;0;0;0;10
