"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"marxisme";-0,0198;-0,0206;-0,0068;-0,0256;-0,7197;-0,0817;-0,0083;-0,0089;3,3002;4,5611;1,3883;-0,1821;-0,012;-0,0411;-0,0231;-0,0165;-0,1034;-0,6467;0,2054;-0,2174;-0,1138;-0,0224;-0,0594;-0,1991;-0,0204;-1,1755;-0,1735;-0,2478;-0,0745;-0,3243;-0,7346;-0,2394;1,0623;-0,0438;-0,314;3,369;-0,2789;-0,9181;-0,1996;-0,0175;-0,0332;-0,0165;-0,0747
"sécurité";-0,0276;-0,0287;-0,0094;-0,0356;-1,0025;0,6372;-0,0116;-0,0124;-0,0197;-0,3876;-0,0253;0,3543;-0,0167;-0,0572;-0,0322;-0,0229;-0,144;-0,1731;-0,5905;0,5373;1,2907;-0,0312;-0,0828;0,8797;-0,0285;-0,942;0,3699;-1,3142;1,6234;-0,4517;0,3952;0,2708;-1,5175;-0,061;-0,2412;-0,0891;-0,3884;2,2042;3,3826;-0,0244;-0,0463;-0,023;0,6713
"lors";-0,1175;-0,1222;-0,0402;-0,1517;1,2516;0,515;-0,0493;-0,053;-0,084;-0,7823;-0,1075;-0,2586;-0,0712;-0,2435;-0,1371;-0,0976;-0,6132;-3,8347;0,2968;4,7416;-0,2663;0,5791;-0,3525;-0,3068;0,6137;0,3339;-0,2352;-0,8565;-0,4419;0,5633;-0,8535;0,9687;0,3425;-0,2597;0,6737;0,6643;-0,9677;-0,348;-0,3084;-0,1039;-0,1969;-0,0979;2,4239
"environnement";-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;-0,4309;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;-0,0997;-0,6236;0,2148;-0,5796;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;-1,1335;0,4953;3,5093;-0,0719;2,2854;2,3851;-0,2309;-0,5027;-0,0422;-0,736;-0,0617;-0,2689;-0,8854;0,4461;-0,0169;-0,032;-0,0159;-0,0721
"mlf";-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,5458;-0,0805;-0,9421;-0,0346;-0,1506;-0,3411;-0,1112;-0,5058;-0,0203;15,8079;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"considérable";-0,0149;-0,0155;-0,0051;-0,0192;-0,5398;-0,0613;-0,0062;-0,0067;-0,0106;-0,735;-0,0136;0,5689;-0,009;-0,0308;-0,0173;-0,0123;-0,0776;-0,485;1,4722;-0,1361;-0,0853;-0,0168;-0,0446;-0,1493;-0,0153;-0,3859;-0,1301;1,0414;-0,0559;0,3677;1,4991;0,4703;-0,8171;-0,0328;0,4338;-0,048;-0,2091;-0,2658;-0,1497;-0,0131;-0,0249;-0,0124;-0,0561
"whitman";-0,0071;-0,0074;-0,0024;-0,0091;-0,257;-0,0292;-0,003;-0,0032;-0,0051;-0,35;-0,0065;-0,065;-0,0043;-0,0147;-0,0083;-0,0059;-0,0369;-0,2309;-0,1514;-0,2147;-0,0406;-0,008;-0,0212;-0,0711;-0,0073;-0,4198;-0,062;8,1342;-0,0266;-0,1158;-0,2624;-0,0855;-0,3891;-0,0156;-0,2726;-0,0228;-0,0996;-0,3279;-0,0713;-0,0063;-0,0119;-0,0059;-0,0267
"commenter";-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;2,6763;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;0,9538;-0,0805;-0,9421;-0,0346;-0,1506;0,2644;-0,1112;0,5117;-0,0203;0,2535;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"puissant";-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;0,5285;-0,0091;-0,091;-0,006;1,3356;-0,0116;-0,0082;-0,0517;-0,3233;0,4132;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,5877;-0,0867;-1,0145;-0,0373;-0,1622;0,2435;1,5287;0,9496;-0,0219;0,2331;1,1489;-0,1394;0,5671;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"frederick";-0,0078;-0,0081;-0,0027;-0,01;-0,2827;-0,0321;-0,0033;-0,0035;-0,0056;-0,385;-0,0071;-0,0715;-0,0047;-0,0161;-0,0091;-0,0065;-0,0406;1,7762;-0,1665;-0,2361;-0,0447;-0,0088;-0,0233;-0,0782;-0,008;-0,4618;-0,0681;4,4808;-0,0293;-0,1274;-0,2886;-0,0941;-0,428;-0,0172;-0,2998;-0,0251;-0,1096;-0,3607;-0,0784;-0,0069;-0,013;-0,0065;-0,0294
"4";2,1183;3,7731;-0,1136;-0,4288;0,2806;-0,4076;0,5614;-0,1497;-0,2376;0,8453;-0,304;1,2965;0,4306;0,3285;0,6498;0,3277;0,2504;-1,8185;-1,1458;0,5842;-1,1738;0,6694;-0,2223;-0,9148;0,7295;0,9085;0,304;-0,2778;-0,3436;-0,6778;0,6737;-0,7186;-4,4;0,6218;0,558;0,6318;-0,298;-0,4017;0,3046;-0,2937;9,0152;0,3268;0,2607
"écho";-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;-0,455;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;-0,3002;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;-0,5458;-0,0805;0,2104;-0,0346;-0,1506;2,2597;0,6463;-0,5058;-0,0203;-0,3544;-0,0297;-0,1295;3,7906;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"confisquer";-0,0085;-0,0088;-0,0029;-0,011;-0,3084;-0,035;-0,0036;-0,0038;-0,0061;-0,42;-0,0078;-0,078;-0,0051;-0,0176;-0,0099;-0,0071;-0,0443;0,9015;-0,1817;0,3493;-0,0488;-0,0096;-0,0255;-0,0853;-0,0088;-0,1578;-0,0743;0,2436;-0,0319;-0,139;-0,3148;-0,1026;-0,4669;-0,0188;0,7875;-0,0274;-0,1195;2,0651;-0,0855;-0,0075;-0,0142;-0,0071;-0,032
"évolution";-0,0757;-0,0787;-0,0259;-0,0978;-2,7507;-0,3124;-0,0318;-0,0341;-0,0542;-1,1184;-0,0693;-0,6959;-0,0459;-0,1569;-0,0883;-0,0629;0,6391;-1,0954;-0,9392;-2,2972;-0,4349;-0,0856;-0,2272;-0,7608;-0,0781;-2,6457;-0,2585;23,1301;-0,2848;0,5072;0,7541;-0,915;-2,3795;6,8385;0,4864;0,3662;-0,5239;-3,5091;-0,3202;-0,067;-0,1269;-0,0631;-0,2856
"chine";-0,0771;-0,0802;-0,0264;-0,0996;-0,9147;-0,3182;-0,0324;-0,0348;-0,0552;0,327;0,8238;-0,7089;-0,0468;-0,1599;-0,09;-0,0641;-0,4026;-2,5177;-1,6505;84,9854;1,0851;-0,0872;-0,2314;-0,775;-0,0795;-4,5768;-0,6754;-7,9004;0,8427;-0,6664;-2,8603;-0,9321;-1,4185;-0,1705;-2,9717;-0,249;-1,0857;-2,5947;-0,7771;-0,0682;1,4427;-0,0643;-0,291
"devenir";-0,133;-0,1384;-0,0455;3,1447;-0,4484;-0,5489;-0,0559;-0,06;-0,0952;0,4151;-0,1218;-0,6388;-0,0807;-0,2758;-0,1552;-0,1106;-0,2784;-0,8516;-0,647;0,908;-0,7642;0,5333;0,221;-0,1969;-0,1372;-0,9667;-0,5965;-0,4938;-0,1668;0,6419;2,7864;-0,5399;-0,5945;-0,2942;2,2631;-0,4295;1,5441;-3,3531;3,5332;-0,1177;-0,223;-0,1109;-0,1676
"naturel";-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;-0,1862;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;1,6603;-0,23;1,1951;-0,5796;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;0,3381;-0,1673;1,346;-0,0719;1,4777;-0,28;-0,2309;-0,5027;1,0331;-0,2968;-0,0617;0,3357;-0,8854;-0,1925;-0,0169;-0,032;-0,0159;-0,0721
