"";"*titre_Revolution";"*titre_Revolution-(Pleasure-Beach,-Blackpool)";"*titre_Revolution-(album-de-Sirsy)";"*titre_Revolution-(catch)";"*titre_Revolution-(chanson)";"*titre_Revolution-(essai)";"*titre_Revolution-(film,-1985)";"*titre_Revolution-(film,-2009)";"*titre_Revolution-(hebdomadaire)";"*titre_Revolution-(politique-et-sociale)";"*titre_Revolution-(revue-de-Jacques-Vergès)";"*titre_Revolution-(serie-televisee)";"*titre_Revolution-(Ève-Angeli)";"*titre_Revolution-9";"*titre_Revolution-909";"*titre_Revolution-X";"*titre_Revolution-agricole";"*titre_Revolution-americaine";"*titre_Revolution-copernicienne";"*titre_Revolution-culturelle";"*titre_Revolution-de-velours";"*titre_Revolution-des-Roses";"*titre_Revolution-des-Tulipes";"*titre_Revolution-des-Œillets";"*titre_Revolution-du-Cèdre";"*titre_Revolution-française";"*titre_Revolution-française-de-1848";"*titre_Revolution-industrielle";"*titre_Revolution-kirghize-de-2010";"*titre_Revolution-neolithique";"*titre_Revolution-numerique";"*titre_Revolution-orange";"*titre_Revolution-russe";"*titre_Revolution-scientifique";"*titre_Revolution-sexuelle";"*titre_Revolution-sociale";"*titre_Revolution-tranquille";"*titre_Revolution-tunisienne-de-2010-2011";"*titre_Revolution-verte";"*titre_Revolutionnaire-(homonymie)";"*titre_Revolutions-(album)";"*titre_Revolutions-(roman)";"*titre_Revolutions-de-couleur"
"pre";53;53;15;101;2175;262;25;21;41;3113;68;560;17;117;44;60;369;1914;1669;1966;438;74;193;716;61;3443;590;7222;231;1112;2407;875;3569;128;2866;182;932;3209;743;60;71;40;269
"ver_sup";0;5;0;3;180;11;0;1;5;235;1;27;2;7;2;4;8;67;86;98;16;2;8;54;2;207;33;264;20;45;151;58;258;12;124;12;35;129;20;2;6;3;7
"adj_dem";0;3;0;3;78;9;1;1;1;75;1;9;1;5;1;1;8;31;36;41;8;1;1;14;2;86;17;182;2;47;62;22;66;3;47;4;32;49;32;2;3;1;8
"ono";0;0;1;1;33;1;2;0;0;20;1;7;4;1;3;0;1;8;10;21;1;0;2;21;1;38;12;52;4;9;20;4;49;0;25;3;7;31;0;0;0;0;3
"pro_per";7;11;1;18;750;38;2;4;4;825;8;139;12;29;11;8;47;253;288;276;33;9;33;133;7;566;121;956;22;186;515;75;590;15;299;19;86;322;86;0;8;7;26
"num";45;49;31;15;804;148;8;9;14;851;30;424;56;73;95;22;110;1155;400;986;166;31;51;271;41;2001;291;2088;112;435;846;329;1147;66;1060;82;491;1534;206;36;146;57;83
"adv";4;4;0;5;165;10;1;0;3;282;1;18;0;5;3;1;27;106;83;82;17;2;9;37;0;154;24;446;23;91;198;57;216;6;138;9;58;122;68;0;3;0;5
"ver";37;26;11;69;1392;134;23;18;28;1904;43;296;20;69;37;42;193;1099;828;1072;165;38;135;419;27;1978;355;3462;133;585;1473;410;2073;62;1352;84;467;1590;325;20;38;31;123
"adj_ind";1;0;0;2;54;5;0;0;0;113;0;7;1;1;1;2;8;49;40;42;11;1;8;20;1;59;13;182;6;40;58;26;87;8;57;0;32;68;16;0;0;0;7
"adj_pos";1;4;0;5;195;29;1;1;2;146;0;32;1;5;2;1;13;59;112;85;12;4;14;33;1;170;23;234;15;26;99;39;158;6;125;7;48;115;24;2;4;2;7
"aux";5;11;1;25;648;33;2;4;6;683;15;132;2;22;9;14;54;345;292;414;47;6;36;117;3;594;98;1022;55;264;398;259;648;19;441;33;142;481;125;8;15;3;47
"nr";51;163;65;137;3159;232;77;66;56;1470;80;1298;109;333;259;113;204;1819;1041;2022;438;87;124;694;82;3214;377;3776;223;1057;1286;595;1973;138;1578;185;635;2429;545;110;265;82;273
"pro_ind";2;6;0;0;138;10;0;0;1;161;0;22;0;6;2;3;10;68;38;81;15;0;4;36;3;150;32;234;13;39;124;17;188;5;80;16;28;116;11;12;3;6;7
"adj";40;43;5;27;882;124;9;8;25;1606;23;222;6;41;26;26;251;1139;768;1236;195;38;108;272;41;2046;288;3678;96;640;1511;400;2071;112;1462;181;564;1419;456;38;50;20;133
"pro_dem";4;1;1;5;201;14;1;1;1;244;4;13;2;6;2;3;8;64;55;54;7;2;8;30;1;130;25;290;7;51;130;44;124;3;99;9;24;101;25;2;6;2;5
"nom";163;152;53;157;3528;615;85;88;109;5526;136;1217;70;249;170;116;702;4156;2511;3908;941;151;381;1227;145;7123;1171;11962;501;2106;4725;1483;6361;295;4992;480;1808;5653;1309;102;309;124;487
"art_ind";16;15;3;16;375;55;4;7;10;766;8;94;3;39;9;6;107;575;361;423;85;21;54;170;26;819;117;1594;76;331;649;195;895;57;753;54;217;748;212;16;17;8;87
"adj_int";0;0;0;1;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;8;0;2;0;3;0;0;0;0;0;0;0;0
"pro_pos";0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
"nom_sup";2;4;0;1;165;8;0;1;0;78;4;36;0;5;1;1;12;94;46;100;12;1;5;12;1;148;15;226;8;69;86;35;117;4;165;4;31;313;30;0;4;4;2
"adv_sup";6;3;0;23;531;36;2;2;3;710;2;39;0;16;1;5;83;257;276;264;42;8;26;91;7;540;109;1106;26;239;501;132;704;24;394;44;89;323;124;0;0;3;32
"adj_sup";0;0;0;1;30;1;0;0;0;27;1;13;0;3;0;1;3;21;5;16;1;0;1;9;0;13;5;56;1;22;8;3;31;1;16;2;1;24;12;0;5;0;5
"art_def";47;26;8;64;1626;224;17;13;33;3169;46;415;9;69;29;44;332;2067;1428;1719;333;80;204;653;68;3695;547;6180;228;969;2280;713;3590;106;2474;182;1015;2911;648;24;46;47;223
"adj_num";0;2;0;0;72;5;0;1;1;66;0;16;0;4;0;9;4;61;27;73;7;1;4;13;1;108;18;136;12;13;47;12;53;1;77;3;17;111;12;2;1;1;1
"pro_rel";4;0;0;9;267;22;0;0;0;497;2;23;1;9;2;5;30;123;188;127;20;3;15;74;3;353;53;608;19;138;310;75;370;9;234;7;66;252;53;2;1;2;21
"con";20;11;2;35;627;67;0;5;11;986;7;119;5;20;10;13;93;535;412;445;73;12;57;146;10;1064;162;1658;64;341;782;179;1088;47;707;54;261;717;164;0;22;15;72
