"";"classe 1";"classe 2";"classe 3"
"révolution";-0,369;-2,888;3,101
"p";3,811;6,65;-13,506
"article";-17,777;63,782;-1,962
"premier";-16,322;-0,293;18,509
"état";30,718;-22,238;-4,588
"politique";6,579;7,67;-19,38
"français";1,46;-7,372;0,483
"grand";-0,613;-44,762;28,833
"guerre";239,592;-52,048;-101,701
"france";-17,835;-0,008;17,382
"the";-0,703;2,531;-0,079
"siècle";-185,215;-64,504;352,245
"partir";150,964;-0,146;-136,575
"pari";61,943;-1,637;-45,875
"revolution";-0,265;-0,008;0,316
"industriel";-189,112;-47,548;328,488
"histoire";-0,188;-13,9;8,942
"social";-19,376;-7,752;38,427
"monde";-65,892;13,342;28,931
"américain";0,107;-1,35;0,233
"année";-15,327;-1,488;21,602
"ligne";-35,703;354,309;-51,185
"gouvernement";81,537;96,054;-241,272
"prendre";39,881;-0,867;-30,257
"pays";1,123;3,158;-5,083
"nouveau";-6,474;3,284;1,504
"unir";6,76;-16,189;0,059
"voir";-12,617;-0,72;16,314
"mettre";-0,071;-5,402;3,458
"mouvement";32,738;0,854;-38,458
"janvier";-27,487;759,969;-192,93
"révolutionnaire";156,156;-29,496;-70,769
"société";-57,858;-15,515;102,231
"jean";-0,215;0,014;0,136
"travail";-45,061;-13,048;81,3
"consulter";-25,042;274,065;-42,723
"of";-0,374;0,055;0,188
"liésportail";-26,087;-7,526;47,02
"armée";212,595;-4,023;-163,815
"numérique";-88,458;-12,818;134,867
"février";10,165;148,478;-132,113
"fin";-0,036;-3,872;2,372
"régime";35,205;8,252;-60,052
"isbn";1,137;0,565;-2,418
"économique";-17,393;-8,941;37,403
"note";13,112;-4,741;-4,088
"permettre";-28,624;-23,974;73,548
"lire";-8,613;102,935;-17,091
"technique";-114,786;-30,526;202,368
"avril";51,694;28,451;-113,779
"république";181,615;-6,654;-128,368
"octobre";101,691;-0,849;-84,142
"national";66,467;3,756;-85,822
"édition";0,022;0,788;-0,57
"mars";55,022;19,711;-105,52
"tunisie";-89,271;900,828;-131,901
"septembre";106,439;-2,947;-78,347
"mai";20,088;18,69;-53,829
"john";-0,001;-8,01;3,921
"droit";32,332;1,764;-41,537
"ouvrier";15,564;-25,45;-0,131
"jacques";-0,386;0,018;0,262
"agricole";-81,426;-22,708;145,407
"loi";43,965;-11,151;-17,21
"début";0,031;-6,424;2,481
"place";0,014;1,679;-1,013
"économie";-49,777;-15,989;92,468
"homme";-3,35;-0,662;5,478
"général";70,089;3,4;-88,593
"ancien";0,216;34,283;-20,115
"juin";69,321;9,514;-104,491
"femme";-0,097;-0,559;0,67
"europe";-6,766;-3,916;15,155
"mort";45,257;1,921;-56,212
"jour";-0,308;41,395;-15,145
"agriculture";-90,751;-22,708;157,437
"président";-0,111;321,17;-144,492
"juillet";122,707;-3,608;-89,587
"devenir";0,873;-9,432;1,457
"force";56,307;0,097;-56,432
"vie";-16,276;-0,744;20,409
"public";2,412;-1,395;-0,486
"production";-81,833;-26,68;152,667
"communiste";156,745;-13,296;-93,405
"populaire";124,53;-1,329;-101,183
"culturel";101,577;-14,584;-51,431
"lennon";22,269;-3,992;-10,326
"and";-0,123;-0,111;0,327
"xixe";-82,886;-26,181;153,236
"décembre";16,04;96,317;-113,533
"nouvelle";0,188;-3,229;0,666
"population";-1,608;-18,746;17,773
"rester";-0,932;-2,584;4,187
"nombreux";-2,215;-4,537;8,495
"russe";70,293;-10,819;-34,673
"notamment";-24,795;0,115;21,246
"britannique";0,137;-14,393;5,077
"partie";0,359;-1,201;0,03
"cit";2,059;-0,956;-0,521
"op";3,7;-0,796;-1,578
"science";-50,124;-6,316;74,247
"projet";-0,376;0,002;0,324
"novembre";29,424;32,137;-84,281
"machine";-67,277;-20,557;123,217
"utiliser";-26,927;-2,325;37,173
"rouge";170,779;-11,969;-106,642
"russie";19,865;-11,816;-3,869
"développement";-59,031;-12,833;98,802
"publier";-17,501;21,291;0,793
"important";-6,198;-7,332;18,374
"effet";-31,655;-14,429;65,422
"civil";106,979;-0,688;-90,024
"également";-3,281;-0,171;4,187
"référence";-7,615;-0,063;8,163
"livre";-6,314;5,076;0,796
"ali";-73,629;818,579;-129,1
"manifestation";0,621;203,068;-111,981
"considérer";-4,857;-13,81;22,119
"tunisien";-61,643;689,113;-109,122
"août";81,07;0;-76,805
"terre";-8,919;-20,392;36,181
"liberté";11,482;-2,033;-5,351
"fois";-7,791;3,081;2,267
"peuple";62,766;-0,741;-50,582
"idée";-14,062;-13,14;37,747
"ministre";-8,794;307,334;-84,483
"ville";11,839;0,381;-14,222
"détaillé";4,804;-0,004;-4,353
"beatles";0,676;-3,031;0,16
"suite";2,226;2,053;-5,944
"créer";-0,215;-8,472;6,028
"portail";1,017;-0,063;-0,652
"révolte";2,458;12,437;-15,635
"mao";154,97;-18,256;-83,98
"dernier";2,627;0,967;-5,08
"système";-38,146;-16,111;76,942
"temps";0,09;-1,747;0,382
"sexuel";-8,468;1,994;3,451
"époque";-19,515;-14,888;48,361
"élection";11,804;95,396;-101,387
"international";-0,417;45,374;-16,097
"assemblée";127,044;-2,233;-98,661
"industrie";-66,184;-9,276;100,201
"aller";2,958;-4,282;-0,061
"passer";-5,048;-1,259;8,75
"donner";0,943;-2,607;0,028
"connaître";-8,874;-9,131;24,786
"seul";3,639;-14,888;0,644
"groupe";8,986;-0,032;-7,799
"constitution";60,326;0,922;-67,494
"recherche";-11,364;-5,201;23,517
"constituer";-6,213;-16,111;26,927
"pierre";-0,732;-1,643;2,942
"humain";-57,271;-7,091;84,537
"version";0,417;0,098;-0,711
"rapport";-9,384;-9,562;26,104
"lieu";-0,003;-0,195;0,127
"critique";-13,883;0,169;11,158
"jeune";7,871;12,002;-26,162
"québec";40,235;-1,146;-29,504
"paul";-0,15;0,015;0,085
"nombre";-2,215;0,889;0,637
"rendre";0,103;-4,643;1,372
"parser";1,565;0,221;-2,373
"output";1,565;0,221;-2,373
"ordre";30,467;3,362;-43,974
"mw";1,565;0,221;-2,373
"crise";7,874;0,205;-9,247
"exemple";-25,182;-3,435;37,911
"événement";13,141;2,183;-20,643
"organisation";1,411;-0,014;-1,153
"louis";23,268;-8,464;-7,223
"face";9,8;0,998;-13,934
"coup";92,217;-0,884;-75,546
"allemagne";-0,015;-2,915;1,68
"réforme";15,038;-1,07;-9,358
"traiter";0,003;-10,47;4,745
"question";-5,4;-3,874;13,073
"long";-4,279;-1,236;7,715
"chinois";110,703;-11,771;-61,932
"paysan";19,686;-17,601;-2,032
"libre";0,251;1,518;-1,785
"chanson";0,803;3,015;-4,274
"part";-8,904;-4,733;19,365
"moyen";-16,61;-9,903;37,595
"i";1,565;-0,886;-0,323
"fr";-6,734;75,624;-12,015
"action";24,309;-1,019;-16,808
"blanc";57,528;-4,868;-34,303
"presse";9,353;7,085;-23,115
"no";-0,084;13,208;-4,936
"bolchevik";129,656;-17,601;-66,986
"période";1,677;-11,564;1,173
"progrès";-50,879;-16,291;94,429
"lien";-10,045;-3,518;19,136
"michel";-0,335;-0,072;0,559
"fer";-30,07;-11,93;59,48
"développer";-25,827;-12,569;54,533
"comité";85,541;-1,224;-67,781
"titre";0,058;-1,799;0,476
"ellul";-27,852;-8,764;51,436
"saint";0,007;-4,868;2,074
"roi";138,407;-13,864;-78,804
"appeler";1,837;2,854;-6,159
"raison";-12,285;-3,755;22,5
"bretagne";-3,654;-16,618;21,782
"françois";-1,398;0,389;0,518
"chine";74,766;-7,551;-42,468
"xviiie";-50,879;-16,291;94,429
