révolution;541;178;723
p;100;44;81
article;114;109;180
premier;217;91;389
état;323;52;296
politique;207;85;181
français;127;26;153
grand;175;17;287
guerre;302;7;96
france;122;58;247
the;23;14;32
siècle;30;3;392
partir;256;49;70
pari;145;25;60
revolution;21;8;31
industriel;7;3;318
histoire;87;13;136
social;96;31;227
monde;60;70;214
américain;110;32;139
année;98;40;209
ligne;46;130;59
gouvernement;208;107;23
prendre;182;40;111
pays;140;58;144
nouveau;101;55;165
unir;129;16;138
voir;77;33;165
mettre;117;29;166
mouvement;160;46;90
janvier;59;186;15
révolutionnaire;195;6;58
société;43;15;210
jean;49;19;67
travail;42;14;184
consulter;25;86;29
of;21;9;31
liésportail;1;0;46
armée;187;20;12
numérique;5;7;153
février;95;84;14
fin;85;21;120
régime;130;46;52
isbn;29;11;25
économique;57;16;155
note;93;15;74
permettre;44;5;164
lire;31;55;36
technique;4;1;196
avril;110;47;13
république;150;12;9
octobre;127;19;22
national;126;35;28
édition;37;16;42
mars;114;44;17
tunisie;6;157;8
septembre;121;14;20
mai;87;40;30
john;19;0;31
droit;103;30;42
ouvrier;96;2;86
jacques;40;16;57
agricole;5;1;148
loi;109;9;57
début;73;14;101
place;73;32;84
économie;19;5;139
homme;57;21;102
général;119;32;22
ancien;71;51;56
juin;108;34;11
femme;60;19;83
europe;47;14;104
mort;99;27;28
jour;60;51;55
agriculture;2;1;151
président;61;101;3
juillet;119;12;13
devenir;76;11;96
force;113;25;34
vie;36;18;104
public;71;17;73
production;7;0;157
communiste;121;4;9
populaire;129;17;14
culturel;119;5;30
lennon;21;0;4
and;12;4;18
xixe;6;0;155
décembre;80;61;7
nouvelle;63;14;81
population;52;3;101
rester;52;14;85
nombreux;56;14;101
russe;89;4;25
notamment;30;23;104
britannique;56;4;81
partie;64;17;77
cit;4;0;2
op;4;0;1
science;6;6;97
projet;25;10;37
novembre;73;37;7
machine;4;0;123
utiliser;19;11;92
rouge;126;5;6
russie;77;5;54
développement;13;6;135
publier;27;36;68
important;45;10;102
effet;25;5;123
civil;113;16;12
également;47;19;85
référence;30;15;71
livre;29;23;57
ali;4;133;0
manifestation;56;75;4
considérer;44;5;100
tunisien;7;121;4
août;87;15;7
terre;32;0;94
liberté;71;13;52
fois;35;25;72
peuple;91;14;21
idée;30;4;99
ministre;35;88;12
ville;74;22;46
détaillé;63;18;52
beatles;9;0;10
suite;62;25;53
créer;49;7;79
portail;12;3;10
révolte;42;24;25
mao;107;0;6
dernier;54;20;45
système;15;2;110
temps;49;12;63
sexuel;27;20;62
époque;26;3;103
élection;64;53;3
international;34;36;27
assemblée;106;11;4
industrie;5;6;119
aller;52;8;53
passer;36;13;77
donner;53;11;61
connaître;33;6;90
seul;61;3;68
groupe;59;15;40
constitution;83;19;11
recherche;16;4;60
constituer;35;2;90
pierre;33;9;55
humain;7;7;111
version;14;5;13
rapport;30;5;86
lieu;49;16;64
critique;22;16;68
jeune;62;30;31
québec;64;9;18
paul;20;8;28
nombre;38;20;62
rendre;46;8;62
parser;9;3;5
output;9;3;5
ordre;74;23;21
mw;9;3;5
crise;54;16;35
exemple;18;9;88
événement;65;22;33
organisation;46;14;45
louis;57;3;31
face;38;12;17
coup;87;11;6
allemagne;38;8;55
réforme;64;12;39
traiter;40;3;61
question;27;7;66
long;20;7;48
chinois;89;2;9
paysan;64;0;45
libre;26;12;25
chanson;13;7;8
part;26;7;74
moyen;22;4;86
i;9;1;7
fr;12;30;14
action;65;11;30
blanc;68;5;15
presse;41;18;15
no;17;15;15
bolchevik;99;0;10
période;49;3;59
progrès;4;0;97
lien;22;7;68
michel;11;4;18
fer;12;2;87
développer;15;2;88
comité;78;9;5
titre;25;5;33
ellul;8;2;71
saint;34;5;49
roi;95;1;4
appeler;46;20;37
raison;21;7;71
bretagne;30;0;73
françois;12;7;22
chine;71;3;11
xviiie;4;0;97
processus;11;4;90
évolution;8;1;80
new;25;13;14
libéral;55;3;33
forme;28;5;69
campagne;80;3;8
classe;40;3;53
bataille;42;3;4
suivre;54;16;29
rôle;26;15;55
commencer;38;11;44
affaire;29;53;14
industrialisation;5;0;93
cours;31;14;53
trouver;44;3;45
principal;46;9;47
internet;6;10;63
com;4;29;6
colonie;37;0;47
changement;24;5;66
anglais;21;2;63
soutenir;53;15;28
petit;35;3;47
information;17;23;55
européen;18;24;49
commun;58;4;30
ouvrage;14;8;68
cas;36;8;45
écrire;40;5;42
mondial;25;5;62
marx;17;0;71
historique;17;9;47
scientifique;2;2;75
mois;48;21;15
membre;57;21;6
militaire;74;5;14
enfant;18;4;65
cause;26;13;56
angleterre;9;7;68
royaume;22;2;52
origine;30;0;54
nécessaire;20;3;68
lénine;72;0;5
culture;16;6;61
soviet;79;0;3
provoquer;37;6;50
nord;21;1;65
nom;52;10;24
george;26;5;9
mesure;39;5;47
empire;36;1;40
conséquence;28;6;56
agir;40;3;48
vapeur;0;0;67
marier;27;17;16
historien;28;1;55
violence;46;13;7
organiser;46;27;18
venir;34;11;36
théorie;17;2;66
situation;50;15;22
lutte;61;11;14
journal;33;27;16
expression;12;8;65
domaine;12;5;68
xxe;10;0;68
présenter;23;12;44
lier;10;3;62
galilée;4;7;56
deuxième;31;11;37
moderne;11;0;73
terme;13;9;56
démographique;1;1;69
coll;3;0;4
capitalisme;9;0;58
autorité;57;15;11
vert;14;4;52
particulier;24;7;50
congrès;75;3;1
union;44;20;12
encyclopédie;7;2;20
transition;5;35;37
terreur;56;2;3
produire;17;0;60
parler;15;11;41
nation;44;1;26
façon;17;2;63
entreprise;9;4;65
demander;59;9;13
région;15;10;58
opposition;39;34;5
marquer;29;4;50
ii;38;6;15
ensemble;15;9;53
communisme;29;0;20
retour;29;25;16
création;28;6;38
réseau;7;7;52
indépendance;51;3;18
croissance;1;0;79
étranger;19;36;24
série;30;5;30
police;30;43;3
diriger;52;7;20
vol;13;4;19
single;0;3;6
sentir;15;1;48
plan;21;5;42
opposer;43;13;21
montrer;18;6;55
esprit;22;1;50
activité;7;5;62
suivant;41;13;15
org;3;5;5
mener;46;10;20
haut;29;10;34
fonder;19;6;49
conseil;47;19;5
chute;43;11;10
revue;20;11;20
sortir;25;4;17
oeuvre;7;0;61
libération;33;24;15
territoire;21;4;44
marché;8;0;65
financier;9;5;55
etc;8;1;64
déclarer;39;16;13
contexte;21;7;44
centre;12;9;45
catégorie;7;0;22
allemand;32;7;30
tour;16;22;17
saison;11;3;6
robert;8;1;28
principe;26;1;43
manifestant;12;60;1
majorité;46;2;24
garder;49;11;7
1er;26;21;4
élément;16;2;48
tunis;0;63;1
source;13;6;43
socialiste;51;6;10
seuil;13;1;20
milieu;9;6;55
marc;12;4;12
appel;19;17;25
soviétique;56;2;5
main;20;6;31
journée;56;2;4
décret;61;1;2
convention;61;1;1
bourgeoisie;19;0;46
analyse;12;2;38
thomas;14;0;40
seulement;15;3;46
revenir;27;6;34
liste;21;3;10
film;9;6;30
document;15;3;14
amérique;15;0;33
provisoire;55;12;0
heure;34;7;23
connexe;14;4;48
site;10;22;30
royal;40;0;21
procès;33;18;10
estimer;27;2;38
député;61;3;0
contrôle;37;12;19
chemin;7;0;59
chef;52;11;4
catholique;16;15;30
auteur;9;6;41
église;17;14;31
éducation;33;2;27
troupe;61;3;0
section;11;5;14
page;4;30;20
nicolas;22;3;18
naissance;15;0;38
monarchie;48;0;7
manifester;32;19;17
intérieur;38;19;11
informatique;1;1;60
gauche;55;4;3
base;20;3;32
association;24;9;28
réaliser;11;1;30
puissance;15;1;45
position;25;4;34
législatif;41;17;3
déclaration;47;3;7
constitutionnel;43;17;2
comprendre;18;6;36
changer;19;3;31
cadre;31;4;30
valeur;15;2;38
université;25;13;18
traduction;3;1;40
refuser;51;9;5
philippe;17;5;11
penser;16;5;40
obtenir;25;5;31
masse;50;3;12
libéralisme;5;1;55
expliquer;18;7;27
doctrine;14;1;26
w;2;0;2
ul;2;0;2
ukraine;14;38;2
soutien;36;21;5
r;15;1;18
province;36;5;15
margin;0;2;3
interdire;36;10;16
condition;12;6;42
apparaître;12;1;40
âge;3;2;53
seconde;14;3;37
karl;14;1;44
différent;12;6;29
contribuer;11;1;52
travers;17;9;31
répression;50;8;5
martin;9;6;4
manière;12;12;38
jouer;15;4;24
intervention;20;4;30
grève;34;23;4
entraîner;18;8;33
courant;11;3;44
bas;20;2;15
albert;1;0;4
affirmer;30;6;25
adopter;36;3;23
wikipédia;0;0;7
vivre;20;6;36
victime;39;11;8
texte;28;6;19
sud;26;6;27
père;18;1;16
pratique;17;5;40
noir;29;1;11
mccartney;0;0;3
garde;56;0;0
acte;26;7;28
école;23;0;25
text;2;2;3
style;11;0;8
représenter;14;2;45
reconnaître;22;10;25
occidental;29;3;27
néolithique;0;0;49
matière;10;2;46
massacre;37;0;1
découverte;7;2;45
annonce;13;44;2
usine;8;2;48
sexualité;8;1;37
ouvrir;13;7;40
orange;4;47;1
navigation;0;1;12
former;33;5;20
défendre;22;4;32
contemporain;6;1;37
conduire;21;6;33
compte;26;6;26
bourgeois;30;0;26
bolchevique;54;0;3
york;19;3;11
tenter;34;14;8
servir;24;0;30
printemps;35;9;11
paix;40;2;12
ouest;30;5;20
modèle;7;0;50
lancer;31;4;12
imposer;27;4;28
famille;24;9;23
dirigeant;44;6;7
contenir;8;3;27
citoyen;30;6;11
act;20;0;21
vote;41;10;5
tenir;43;3;6
sein;28;10;21
privé;4;1;50
parisien;34;17;3
méthode;8;7;42
lumière;9;3;43
li;7;0;2
dénoncer;24;23;10
conflit;45;4;6
condamner;35;11;10
bibliographie;7;7;32
établir;13;5;37
voie;15;1;39
victoire;38;8;6
urss;33;2;8
troisième;19;4;27
religieux;24;2;23
charles;17;1;22
aide;23;8;8
étude;2;5;44
utilisation;5;3;44
soldat;52;0;2
provenir;6;4;12
proposer;20;6;22
