de;2418;821;3011
la;2178;691;2579
le;1684;730;1884
et;1721;578;2088
l;1446;542;2188
les;1482;411;1717
en;1214;454;1728
des;1343;418;1618
être;1344;350;1680
à;1238;406;1647
du;1102;406;1204
d;1019;337;1321
avoir;653;323;705
une;684;217;1058
un;634;242;929
dans;617;254;996
par;700;245;887
au;539;180;710
que;445;129;727
sur;368;192;572
qui;547;138;671
pour;460;182;570
ne;416;90;564
il;359;73;528
s;379;104;430
plus;284;62;541
se;408;100;422
2;126;70;157
faire;251;96;329
aux;303;58;305
ce;249;71;341
qu;246;53;366
pas;231;49;340
avec;215;83;321
1;91;44;157
comme;172;45;364
pouvoir;302;61;239
son;209;89;260
ou;203;36;302
mais;233;35;297
cette;164;39;299
3;89;50;126
elle;155;23;230
c;121;49;185
4;90;35;91
entre;155;39;192
on;76;25;237
sa;116;50;149
leur;154;23;154
2011;21;202;24
ses;130;34;154
5;77;43;91
autres;90;32;131
après;175;60;112
contre;188;53;80
ils;153;18;122
ainsi;131;41;157
même;130;32;140
aussi;112;43;143
ces;100;32;153
deux;99;31;114
tout;98;25;139
b;32;65;28
an;87;36;94
sans;110;29;107
sous;105;42;88
6;52;30;59
y;84;19;123
dont;90;41;117
dès;96;26;120
alors;112;25;100
devoir;113;23;85
où;79;24;117
selon;55;26;122
leurs;102;12;84
bien;66;22;114
7;46;51;37
0;6;5;15
10;69;28;33
très;63;24;102
depuis;56;39;74
vers;49;9;111
in;19;18;35
tous;80;12;66
ben;7;143;3
avant;79;19;63
000;70;16;50
si;68;10;79
puis;72;13;82
8;45;32;30
non;59;9;89
encore;45;15;90
lui;69;14;68
nous;44;8;55
lors;72;27;46
1789;65;0;20
plusieurs;54;30;69
certains;49;27;80
9;49;21;31
1968;50;4;11
peu;39;19;68
autre;30;8;101
trois;61;21;56
moins;43;13;79
toute;55;13;72
2010;14;73;20
2005;16;45;8
point;29;25;71
donc;36;3;77
million;39;12;56
25;71;29;13
2013;24;22;15
14;42;50;15
2004;18;36;10
978;18;5;12
1917;64;0;12
j;17;5;29
20;51;28;12
vouloir;53;14;24
11;33;27;19
dire;39;4;47
pendant;67;15;31
2009;18;15;18
17;47;39;7
13;38;23;12
15;37;34;22
elles;32;9;55
2012;17;9;13
t;16;2;20
personne;53;21;26
26;33;28;15
ni;33;9;19
01;5;67;1
quelques;43;11;43
celle;27;11;50
toujours;40;15;38
22;38;21;8
celui;24;10;59
30;42;12;15
cet;27;7;43
24;34;28;8
16;40;38;9
18;41;25;10
21;33;34;9
souvent;29;5;59
2007;17;16;9
2000;19;12;32
1967;47;0;11
cependant;41;7;43
déjà;37;9;42
1960;26;7;44
1918;57;1;14
1793;62;1;3
fort;29;8;46
2003;13;12;12
1969;29;4;10
falloir;20;7;55
19;31;23;8
toutes;29;3;43
tard;25;9;43
bon;29;5;31
afin;37;11;31
cela;18;9;49
12;33;24;10
23;27;35;9
1989;25;4;9
surtout;18;4;55
1970;26;6;23
me;7;0;3
to;2;2;2
durant;27;11;36
2008;11;13;12
1972;18;12;17
m;4;7;16
tandis_que;22;12;24
quand;35;7;26
ceux;35;3;25
2017;6;22;18
1971;20;20;13
toutefois;25;2;41
quatre;37;7;23
2016;11;18;14
2006;10;8;14
laquelle;12;10;43
devant;39;21;8
car;27;6;38
27;33;17;10
2019;14;19;9
2018;12;20;6
1848;29;3;14
savoir;16;2;34
grâce;12;3;48
chez;19;8;33
1966;44;1;9
eux;42;4;19
ailleurs;12;7;43
v;24;9;11
e;11;14;14
certaines;19;6;42
jusqu_à;24;6;33
je;14;2;9
d_abord;28;4;32
28;22;28;4
2020;5;31;2
parmi;24;7;29
parfois;19;7;34
lequel;13;6;37
autant;21;2;39
aujourd_hui;7;1;48
jamais;19;3;32
malgré;26;5;28
comment;13;2;21
2014;10;14;19
1997;8;4;17
1965;24;4;11
tant;18;6;35
1792;36;1;2
or;15;5;26
cinq;31;10;13
1794;38;1;5
2015;9;7;15
1776;30;0;9
ensuite;20;3;24
beaucoup;21;2;24
autour;15;9;29
1791;40;2;3
enfin;26;2;22
1980;17;4;17
1799;12;0;6
plupart;23;2;28
1920;31;0;16
trop;16;7;24
1775;19;0;8
quant;21;2;23
lendemain;28;14;4
c_est_à_dire;20;0;24
1988;2;1;12
1974;26;3;3
parce_que;14;2;21
dix;9;6;28
29;14;14;7
1999;9;8;9
vous;9;1;10
notre;8;11;26
nos;8;2;30
croire;19;1;20
1964;21;0;8
outre;7;4;35
1987;8;5;7
celui_ci;19;2;18
50;7;7;16
2002;10;6;7
assez;6;4;21
1976;27;2;5
aucune;17;5;21
f;7;3;9
1998;10;3;4
1990;8;2;17
1973;20;4;6
1962;19;1;8
1950;10;3;24
voire;14;4;20
là;17;5;14
2001;9;8;9
1871;11;3;21
mieux;10;0;22
environ;12;7;18
31;18;9;0
1975;11;8;16
1963;12;4;10
1921;28;1;2
1783;20;0;8
tu;11;0;1
treize;13;0;22
aucun;15;5;17
68;13;10;7
g;6;3;7
chaque;11;2;19
celle_ci;15;2;20
tel;2;2;22
six;11;11;11
lui_même;9;4;19
différents;20;3;13
1993;6;0;9
ici;12;0;20
certain;9;2;18
1992;6;6;8
1991;12;5;6
rien;14;2;11
néanmoins;10;11;13
jusqu;15;3;14
1977;10;5;12
1860;2;0;27
1800;0;0;27
1790;19;2;9
telle;3;2;26
pourtant;16;2;13
huit;13;4;8
concernant;10;2;11
celles;7;4;21
1985;5;0;8
1961;14;0;9
vite;15;4;12
salut;23;1;1
anti;17;1;4
1919;23;0;5
1850;2;0;27
1777;14;0;2
mal;9;1;13
lorsqu;13;4;7
1840;9;0;21
100;7;3;17
tels;8;0;19
500;12;3;12
1979;12;2;10
1930;7;0;14
1781;18;0;1
loin;18;2;8
1978;13;2;4
02;0;0;8
1787;8;1;2
1770;10;0;5
1763;11;0;5
presque;12;1;12
pourquoi;7;0;11
davantage;8;3;14
60;3;1;8
1995;9;1;3
1982;5;2;9
envers;10;5;7
elle_même;11;1;13
1996;5;4;6
1949;11;0;8
1830;8;0;16
1780;9;0;11
telles;2;4;18
lesquels;9;1;14
chacun;5;1;15
45;9;3;2
1986;4;1;3
1959;12;5;3
1870;5;0;18
votre;6;1;1
u;5;0;4
sept;9;4;9
peut_être;4;3;10
lesquelles;7;2;14
1994;3;2;4
1922;13;0;2
1774;18;0;1
quoi;6;1;14
eux_mêmes;11;2;9
diverses;3;3;13
auparavant;7;3;12
40;11;1;2
1846;1;0;20
1815;4;0;16
partout;6;0;15
moi;3;1;0
1984;3;2;11
1956;7;0;8
1953;7;0;10
1945;11;0;4
1936;9;2;5
1820;2;0;17
moindre;10;0;10
lorsque;9;1;8
cent;12;2;5
200;7;4;6
1788;14;0;5
mille;4;5;5
1958;12;0;4
1944;9;0;8
1880;0;0;14
x;5;1;3
puisque;10;0;7
mon;6;2;7
36;3;0;8
1957;5;0;5
1905;6;0;7
1795;13;1;0
1782;10;0;1
1765;9;1;5
quelque;7;1;8
jusqu_au;7;4;6
95;0;2;3
300;8;3;3
1914;5;0;8
1779;7;0;7
1750;2;0;13
vingt;3;3;9
via;2;7;6
mêmes;8;2;6
juste;7;1;8
ceux_ci;7;1;7
certes;6;4;6
cents;6;5;2
90;4;3;2
1983;4;1;3
1981;7;1;3
1948;3;1;8
150;9;2;4
maintenant;7;0;4
douze;3;1;7
cinquante;3;3;8
57;3;2;4
49;2;2;5
400;8;0;6
35;4;2;3
