"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,0909103084925878;-0,202425228461288;0,571249465475186;-0,237808246098621;0,311141042268196;-1,60048507976195;0,0517130460739285;-0,115146734616983;0,324947197052289;-0,135273864880359;0,176988191120452;-0,910413351827017;0,000135780218416879;0,000595114953614231;0,00374355866710017;0,000582369680468063;0,000923776232105726;0,0213148971570213;1,34514398142311e-05;6,66916997110937e-05;0,000531121794796656;9,20441792676101e-05;0,000157564042341267;0,00416913318941885;0,00162758061949335;3,74595666650064;0,0228385226858888
"classe 2";1,18272006934895;0,253606178104108;1,11986488737482;1,88885605031302;0,218663015120637;-1,04851801162901;0,433833076545784;0,093025180961449;0,410777192334997;0,692850533863433;0,0802076932953228;-0,38460647332135;0,0160177376971637;0,000651055856740981;0,0100274681375202;0,0256076464307851;0,000318001998275503;0,00637615369693973;0,00236777146172033;0,00010886681251705;0,00212279035053133;0,00603911879052789;8,09331629931976e-05;0,00186091972661163;0,00169268384427309;4,48692950904801;0,0340780191409614
"classe 3";4,76944699855643;0,51181834189845;1,30733521537494;1,26980860043283;0,514375589916879;-0,635178689365288;0,917894846767186;0,098501025098236;0,251600711267602;0,244378597994846;0,0989931753996717;-0,12224210603896;0,0790878752670598;0,000805131636872236;0,00414925918527608;0,00351386505871699;0,000534289322637574;0,000710453132916617;0,0126702962901795;0,000145909109843487;0,00095197301205623;0,000898105271143751;0,000147370792217126;0,000224720428608042;0,000556994256448836;8,14293451019943;0,0369328311777865
"classe 4";0,7277080367468;0,416786366476556;0,43938503516445;0,284562506524674;0,0476872383827871;-0,198788047864321;0,720857957456472;0,41286306274302;0,435249005083876;0,281883855700007;0,0472383476909662;-0,196916811295424;0,00766123042008155;0,00222163412328097;0,0019502823698527;0,000734301193176729;1,91086702944095e-05;0,000289557262101025;0,00111280859398503;0,000365033848389433;0,00040569219377062;0,000170161569890087;4,7787077782407e-06;8,30398710692988e-05;0,00210138742205697;3,99186438041474;0,0334855691308485
"classe 5";2,5330383472946;2,532699513822;-0,525918141427357;-1,05572179082114;0,019083097775183;0,464500115879583;0,666632597295117;0,666543424765167;-0,138408554674583;-0,277839678261413;0,0050221959915822;0,122244860218327;0,470596714580759;0,415904905326589;0,0141652569194153;0,0512388094343458;1,55133307683591e-05;0,00801505961529555;0,3687081660267;0,368609531663199;0,0158940849954155;0,0640469125225215;2,09265183288618e-05;0,0123985495087502;0,0574644464055786;1,77290387084044;0,180621566140208
"classe 6";0,139515442273577;-0,116134109769011;0,413872895090098;-0,05942008658294;-0,27401597971042;-0,942648456175169;0,128902547190574;-0,107299825173334;0,382389716298485;-0,0549000195964402;-0,253171671751803;-0,870941489530396;0,000455533546507768;0,000279033753891727;0,00279919120361675;5,17937149041149e-05;0,00102063280829674;0,0105328298270413;0,000130381369583521;9,03421805558698e-05;0,00114737385213452;2,36503481901253e-05;0,000502947621624024;0,0059521038443212;0,00669839846067042;3,13855661303226;0,0659828259850922
"classe 7";1,36473197177568;0,323929798085531;0,601700892735826;2,17983206334835;0,51038934548901;0,366625154631409;0,49912733628048;0,11847177365526;0,220061792381152;0,797236229398372;0,186666158446049;0,134086868798493;0,0138289376137019;0,000688743055551596;0,00187706013989962;0,0221143844323135;0,00112341243000214;0,000505485084983673;0,00127317039703813;7,17288058715209e-05;0,000247487410686723;0,00324816343373176;0,000178071738957279;9,18832437233526e-05;0,000683583860187208;5,57212469103719;0,0212243037759731
"classe 8";2,0048927510178;0,220288335961504;0,894524193268735;1,33593539278256;-0,237430567403104;-0,850906427682695;0,73535390982649;0,0807972840722913;0,328093292082889;0,48999394798526;-0,0870847061338116;-0,312095182236212;0,0317538024919311;0,000338889255299338;0,0044138789660068;0,00883728896956154;0,000258659627876612;0,00289698868141383;0,00295126579999565;3,56294434579206e-05;0,000587503172211214;0,00131037906301589;4,13903686668453e-05;0,000531605716715471;0,000734219701682557;5,4020816630926;0,0214263563816656
"classe 9";0,881483473723755;-0,322112856736405;0,750936040099998;0,402257720567396;0,352739506454156;-1,51385479530689;0,439498204444754;-0,160602015107756;0,374408654404599;0,200561384510783;0,175872134129101;-0,754791762024531;0,0070873948375829;0,000836634452614135;0,00359159175191153;0,000925127844156986;0,000659186682211431;0,0105875740925986;0,000904928396769028;0,000120837570987521;0,000656737422401958;0,000188449350231684;0,000144908570952222;0,00266903524938194;0,00116462435439302;5,02734546326494;0,0294349516610633
"classe 10";-0,239656277646369;-0,096966866899963;-0,319419558935216;-0,129298000018438;0,0917388698181744;-0,31491864237729;-0,442614725356769;-0,179085495206446;-0,589927381582333;-0,23879699430109;0,169430048183538;-0,581614759999018;0,0236967643591858;0,00342941074596902;0,0293939013532113;0,00432344304482617;0,0020167875030773;0,0207242066286111;0,00444675432602321;0,000727967924200006;0,00789929855694239;0,00129434226191927;0,000651586815734199;0,0076782501724746;0,0774222016463882;0,747501646630516;0,0432603296501006
"classe 11";0,337967342336427;0,00220372350482481;0,585699483020841;0,0844149766247812;0,0417179710858626;-0,727701811502435;0,338698557243204;0,00220849140774112;0,586966682951803;0,084597614061986;0,0418082307012668;-0,729276242950695;0,00226574903025968;8,51604375572977e-08;0,00475154450248112;8,86004719953285e-05;2,00516736135793e-05;0,00532033505642606;0,000170206713184887;7,23671417411332e-09;0,000511183577991068;1,06185745676701e-05;2,59342426305536e-06;0,000789103780700284;0,00149014047829169;3,40907616516905;0,0173181150575388
"classe 12";1,15228450276507;0,849311315729596;3,16924114549591;6,70984907901168;0,216243576741005;0,0772302991639287;0,152399415253535;0,112328637220065;0,419159067237315;0,887434547307571;0,0286000502207406;0,0102143632099493;0,031994805457621;0,0153658008235946;0,169002602789159;0,680017724080229;0,000654467980400481;7,27956130635147e-05;0,0197326575677408;0,0107201276840874;0,149271435243964;0,669100941793142;0,00069494841631155;8,86424133717511e-05;0,0148616194788849;3,09305650014327;0,14218109145643
"classe 13";20,5903627201801;-23,6514666271818;-2,02337073165199;-1,29523041802006;-0,949063690975664;0,538657156307746;0,654299795710761;-0,751572470710197;-0,0642966359727853;-0,041158526900466;-0,030158389512647;0,0171169042585576;0,454778420359491;0,530455985566201;0,00306651837737156;0,00112797797951803;0,000561183006325784;0,000157640013827357;0,418620640206896;0,552342925801701;0,00404243988488924;0,00165648197061561;0,000889371811176198;0,000286495306228724;0,0009873989091593;14,6599315296324;0,212205446752102
"classe 14";3,16446323858737;2,553409049561;-0,330591550872995;-0,55375199418081;0,170474853317448;0,387837517950836;0,764596513113265;0,61695381132559;-0,0798774161696489;-0,133797365290036;0,0411900750909662;0,0937091669335016;0,236382338389248;0,136055796198958;0,00180144581928225;0,00453711950049137;0,000398453371014613;0,00179839171965957;0,0337556144744783;0,0219779253979332;0,000368408301782477;0,0010336571542194;9,79640111973212e-05;0,00050704388097614;0,00337090030526179;3,12507476301639;0,0329205234291312
"classe 15";4,83593773206624;2,40555972233224;2,1231387607151;3,7117022932592;1,29955767771918;-1,93591103023316;0,664931990034319;0,330759762002427;0,291927431554851;0,510351813652753;0,178686641699372;-0,266183984406335;0,0892492316166164;0,0195225578869345;0,012012202187721;0,0329552076583355;0,00374348540129796;0,00724408630551565;0,0444069248778285;0,0109880742766174;0,00855945390531349;0,0261598693043266;0,00320686308358679;0,00711639569166272;0,00189884405607558;7,77224221294751;0,11470489516131
"classe 16";1,58744505425179;0,653053529193137;0,361094930915623;0,766624335787542;-0,0256209596461438;-0,767340347700525;0,769659064138965;0,316627379804552;0,175073767655433;0,37169120735741;-0,0124221016474095;-0,372038359567424;0,0173186389309334;0,00259104682810492;0,000625722724218182;0,0025317233858106;2,62028830347274e-06;0,00204956721082362;0,00340878023068388;0,000576898168012842;0,00017637798706517;0,00079499940036643;8,8795791573042e-07;0,000796485121179624;0,00135270033709003;5,79174846557026;0,0453754539426327
