"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,230534399397756;8,21492639563242;8,21492639563242
"facteur 2";0,203796670765753;7,26214679626632;15,4770731918987
"facteur 3";0,160975035071298;5,73622881487393;21,2133020067727
"facteur 4";0,144500861051449;5,14918355240792;26,3624855591806
"facteur 5";0,133899106167486;4,77139769370823;31,1338832528888
"facteur 6";0,116763063243819;4,16076721210519;35,294650464994
"facteur 7";0,115475199646923;4,1148751253548;39,4095255903488
"facteur 8";0,109574057459885;3,9045921964586;43,3141177868074
"facteur 9";0,102173960608751;3,64089510348062;46,955012890288
"facteur 10";0,0929027440368902;3,31052201410754;50,2655349043956
"facteur 11";0,089858303822015;3,20203559148932;53,4675704958849
"facteur 12";0,086580211598849;3,08522314873998;56,5527936446249
"facteur 13";0,0831383208843311;2,96257386535563;59,5153675099805
"facteur 14";0,0797412834840711;2,84152289734718;62,3568904073277
"facteur 15";0,0767060538495166;2,73336468708942;65,0902550944171
"facteur 16";0,0734324212983428;2,61671116152234;67,7069662559394
"facteur 17";0,0716427578565644;2,55293780064617;70,2599040565856
"facteur 18";0,0675433463951883;2,4068582415496;72,6667622981352
"facteur 19";0,0635062946597062;2,26300082613141;74,9297631242666
"facteur 20";0,0540221591627269;1,92504052503351;76,8548036493001
"facteur 21";0,0513011616073211;1,82807974738493;78,682883396685
"facteur 22";0,0493129783687956;1,75723227729724;80,4401156739823
"facteur 23";0,0436984732831158;1,55716345395784;81,9972791279401
"facteur 24";0,0412615010578907;1,47032371329127;83,4676028412314
"facteur 25";0,0386797439649595;1,3783246687008;84,8459275099322
"facteur 26";0,0363528112275652;1,29540610550494;86,1413336154371
"facteur 27";0,0335640111694923;1,19602923476871;87,3373628502058
"facteur 28";0,0325994067770536;1,16165625570143;88,4990191059073
"facteur 29";0,0323561783651561;1,15298898736194;89,6520080932692
"facteur 30";0,0302602020398245;1,07830038867745;90,7303084819467
"facteur 31";0,0288249459312662;1,02715607649893;91,7574645584456
"facteur 32";0,0281706007363424;1,00383895928051;92,7613035177261
"facteur 33";0,0265515281618458;0,946144480437342;93,7074479981634
"facteur 34";0,0254140161978117;0,905610065256339;94,6130580634198
"facteur 35";0,023075506527204;0,82227896642813;95,4353370298479
"facteur 36";0,0221747714320081;0,790181923521179;96,2255189533691
"facteur 37";0,0216913632585614;0,772956023289865;96,998474976659
"facteur 38";0,0204242996395332;0,727805128689788;97,7262801053487
"facteur 39";0,0187519177484689;0,6682110109513;98,3944911163
"facteur 40";0,01764207841306;0,628662689853973;99,023153806154
"facteur 41";0,0150977210197488;0,537996356478834;99,5611501626329
"facteur 42";0,0123153852890302;0,438849837367142;100
