"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"pre";0,448188238914596;-0,0933624719834067;0,79171477846856;-1,16952297565939;0,814126919967205;-0,0164445361003543;0,264683594733665;-0,0551364639947593;0,467557814717127;-0,690677528867788;0,480793606428009;-0,00971154205052378;0,459196581814595;0,00771355576041209;0,129899580363841;0,248299509886883;0,0630585702708036;1,89268672279915e-05;0,0268142971463687;0,00116356377049415;0,0836725509243873;0,182584128216905;0,0884768672303629;3,60984670121072e-05;0,133489008112644;0,103321735085701;0,00142504601305471
"ver_sup";0,412483393639965;2,02304669094188;-2,1324589466935;0,853512072981876;1,12137765629601;2,25292480293207;0,103536206566355;0,507798818852729;-0,535262057584416;0,21423747878748;0,281473607062348;0,565499827075318;0,0474393620193725;0,441743246806768;0,114942270099062;0,0161296836912441;0,0145919002872753;0,0433288380231963;0,00119299030595653;0,02869695320348;0,0318849202604366;0,00510791091569151;0,0088171407582428;0,0355891298516214;0,00701171050836488;0,295847297856577;0,000613704335091149
"adj_dem";0,184830139518396;1,16686550915888;2,67438288814884;0,465119463527896;-2,49291613241795;-2,17055661184657;0,0416529858253236;0,262962699913001;0,602694088863492;0,104818480751519;-0,56179906912309;-0,489152710818082;0,00945288756229964;0,14584539451152;0,179414933662667;0,00475366472529235;0,0715675911382202;0,0399134153964557;0,000107953474453236;0,00430261659268549;0,0226015493567109;0,000683628356788409;0,0196384124976493;0,0148878943015097;0,00316002880829476;0,296975829025998;0,000278697612698418
"ono";-0,936083266433812;1,1882388071772;-3,40194716287329;0,671453265175341;8,23378134664411;2,65008245949482;-0,0991520451844774;0,125860927252793;-0,360341895751928;0,071121840198644;0,872140641111748;0,2807026951432;0,0625754352164749;0,0390314408499683;0,0749242756925495;0,00255674318293712;0,201491035612986;0,0153550571773106;0,00110092023196442;0,00177392132068019;0,0145405896232926;0,000566445941541345;0,0851776294221538;0,00882359700330394;0,001256396996069;0,584578852589476;0,000429351604661208
"pro_per";0,13215778772326;3,41956351974464;-1,58119256608368;1,17293684168777;0,163256797612586;-0,200914853616813;0,0334027456673068;0,864291181859181;-0,399644803729065;0,29645858697902;0,041262988606705;-0,050781023742617;0,00337307923439966;0,874207599876137;0,043772672238359;0,0210994380762494;0,000214222815785005;0,000238683754633691;0,000379306841521629;0,253948999755115;0,0542968560821264;0,0298781986971487;0,000578825562482517;0,000876656074566715;0,0217172662578089;0,355475805281375;0,0027442599616143
"num";-1,23195688646705;-1,64330924162862;-2,62466841864903;0,47592190541551;-0,954733462436916;-1,01863340388471;-0,338027741700288;-0,450895739911748;-0,720163788208774;0,13058477019813;-0,261962411005102;-0,279495453873446;0,456241686219947;0,314249607634939;0,187735042640377;0,00540699471687577;0,0114038208884044;0,00954987132246518;0,0813543760563381;0,144753307176038;0,369265548329044;0,0121411909330585;0,0488600816489707;0,0556193266995694;0,0536030991125903;0,284923706814754;0,00435158099325793
"adv";1,22118429120737;1,59906343519683;1,33161338204199;0,66946955071374;-2,48867200289647;-3,25631251646282;0,25426589764668;0,332945078537097;0,277258620456446;0,139391963592204;-0,518172748634858;-0,678005138927833;0,380142907291297;0,252317901004942;0,0409763513819158;0,00907249510904058;0,0657055344100763;0,0827550257812483;0,011748186741479;0,0201437261329699;0,0139689809436819;0,0035307753085739;0,0487914525131296;0,0835334810817013;0,00787786298292759;0,309412832321392;0,000754197460235278
"ver";0,337449029728745;0,551557722383873;-0,483293159320823;-0,0336471503048793;0,905259151762373;0,203954479639084;0,274259652676435;0,448275194311874;-0,392793584627501;-0,0273465173794865;0,735743886251761;0,165762766580133;0,310091025965491;0,320691149057036;0,0576615929936492;0,00024482176134556;0,0928754289555381;0,00346814363037398;0,0081960764121784;0,0218963421288235;0,0168116727378389;8,14866019108575e-05;0,0589841709053307;0,00299402986685801;0,0719763188202559;0,0946660252845977;0,000645027034114587
"adj_ind";1,11916036019848;0,785923940075552;0,90211508810867;-0,736257983896033;0,183392324747806;-4,50500980711148;0,23059629921012;0,161934927725565;0,1858754189101;-0,151701554476268;0,0377868917577501;-0,928230329066488;0,368011467190656;0,0702538215094057;0,0216766974277108;0,0126478689918466;0,000411264457604084;0,182568539671625;0,00407721584185712;0,00201066676929271;0,00264912808786638;0,00176457084251815;0,000109481660539906;0,0660648640635148;0,00325521039890605;0,288198822303217;0,000270373092061419
"adj_pos";-0,136423490007068;1,9903419952156;-1,12342649684791;-1,40731247967277;2,27487227413799;2,84385379600979;-0,0301417640151431;0,439751385381723;-0,248212799383701;-0,310935313674096;0,502616252143282;0,628328523251054;0,00435027848790212;0,35844816862895;0,0267436440957773;0,0367621106319208;0,0503425184565382;0,0578776683453585;0,000109948596804657;0,0234027446000148;0,00745591083608396;0,0117001777026158;0,0305721101254205;0,0477777738839282;0,00590760405727394;0,323118023647052;0,000616784921068396
