"";"banalfreq";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"considérable";21;-0,0149;-0,0155;-0,0051;-0,0192;-0,5398;-0,0613;-0,0062;-0,0067;-0,0106;-0,735;-0,0136;0,5689;-0,009;-0,0308;-0,0173;-0,0123;-0,0776;-0,485;1,4722;-0,1361;-0,0853;-0,0168;-0,0446;-0,1493;-0,0153;-0,3859;-0,1301;1,0414;-0,0559;0,3677;1,4991;0,4703;-0,8171;-0,0328;0,4338;-0,048;-0,2091;-0,2658;-0,1497;-0,0131;-0,0249;-0,0124;-0,0561
"puissant";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;0,5285;-0,0091;-0,091;-0,006;1,3356;-0,0116;-0,0082;-0,0517;-0,3233;0,4132;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;-0,5877;-0,0867;-1,0145;-0,0373;-0,1622;0,2435;1,5287;0,9496;-0,0219;0,2331;1,1489;-0,1394;0,5671;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"naturel";27;-0,0191;-0,0199;-0,0065;-0,0247;-0,694;-0,0788;-0,008;-0,0086;-0,0137;-0,1862;-0,0175;-0,1756;-0,0116;-0,0396;-0,0223;-0,0159;1,6603;-0,23;1,1951;-0,5796;-0,1097;-0,0216;-0,0573;-0,192;-0,0197;0,3381;-0,1673;1,346;-0,0719;1,4777;-0,28;-0,2309;-0,5027;1,0331;-0,2968;-0,0617;0,3357;-0,8854;-0,1925;-0,0169;-0,032;-0,0159;-0,0721
"k";15;-0,0106;-0,011;-0,0036;-0,0137;1,2894;-0,0438;-0,0045;-0,0048;-0,0076;-0,1711;-0,0097;-0,0975;-0,0064;-0,022;-0,0124;-0,0088;-0,0554;-0,3464;-0,2271;-0,322;-0,061;-0,012;-0,0318;-0,1066;-0,0109;-0,6297;-0,0929;0,7239;-0,0399;1,237;-0,3935;-0,1283;-0,2024;1,2791;0,6365;-0,0343;-0,1494;-0,4919;0,6611;-0,0094;-0,0178;-0,0088;-0,04
"quelque";17;-0,012;-0,0125;-0,0041;-0,0155;1,1516;-0,0496;-0,005;-0,0054;-0,0086;1,4225;-0,011;-0,1106;-0,0073;-0,0249;-0,014;-0,01;-0,0628;-0,3926;0,3496;0,7064;-0,0691;-0,0136;-0,0361;-0,1209;-0,0124;-0,7137;-0,1053;0,587;-0,0452;-0,1969;-0,446;-0,1454;-0,6615;-0,0266;-0,1409;-0,0388;0,491;-0,1895;-0,1212;-0,0106;-0,0202;-0,01;-0,0454
"mêmes";16;-0,0113;-0,0118;-0,0039;-0,0146;-0,4112;-0,0467;-0,0048;-0,0051;-0,0081;-0,1902;-0,0104;-0,104;-0,0069;-0,0235;-0,0132;-0,0094;-0,0591;0,2419;-0,2422;-0,3434;-0,065;-0,0128;-0,034;-0,1137;-0,0117;-0,2528;-0,0991;-0,2639;-0,0426;0,4592;-0,4198;-0,1368;1,3715;-0,025;0,5952;-0,0365;0,5127;0,9757;-0,1141;-0,01;-0,019;-0,0094;-0,0427
"menacer";14;-0,0099;-0,0103;-0,0034;-0,0128;-0,3598;-0,0409;-0,0042;-0,0045;-0,0071;-0,49;-0,0091;0,7233;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;1,4829;-0,212;-0,3005;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,8785;0,7422;-1,0145;-0,0373;-0,1622;0,2435;-0,1197;0,9496;-0,0219;-0,3816;-0,032;-0,1394;-0,1373;0,6876;-0,0088;-0,0166;-0,0083;-0,0374
"99";14;-0,0099;-0,0103;-0,0034;-0,0128;1,3679;-0,0409;-0,0042;-0,0045;-0,0071;-0,1525;-0,0091;-0,091;-0,006;-0,0205;-0,0116;-0,0082;-0,0517;-0,3233;-0,212;0,3015;-0,0569;-0,0112;-0,0297;-0,0995;-0,0102;0,4266;-0,0867;-0,1988;-0,0373;-0,1622;-0,3673;1,5287;-0,1807;-0,0219;0,6819;-0,032;-0,1394;-0,4591;-0,0998;-0,0088;-0,0166;-0,0083;-0,0374
"rivalité";13;-0,0092;-0,0096;-0,0031;-0,0119;-0,3341;-0,0379;-0,0039;-0,0041;-0,0066;1,1317;-0,0084;-0,0845;-0,0056;-0,0191;-0,0107;-0,0076;-0,048;0,3018;-0,1968;-0,2791;-0,0528;-0,0104;-0,0276;-0,0924;-0,0095;0,9538;0,7714;0,2104;-0,0346;-0,1506;0,7572;0,6463;-0,5058;-0,0203;-0,3544;-0,0297;-0,1295;-0,4263;-0,0927;-0,0081;-0,0154;-0,0077;-0,0347
"déclencher";21;-0,0149;-0,0155;-0,0051;-0,0192;0,9329;-0,0613;-0,0062;-0,0067;-0,0106;-0,2937;-0,0136;-0,1366;-0,009;-0,0308;-0,0173;-0,0123;-0,0776;-0,485;-0,3179;-0,4508;-0,0853;-0,0168;-0,0446;0,5362;-0,0153;1,4133;-0,1301;-1,5218;-0,0559;-0,2432;-0,551;0,4703;1,0011;-0,0328;-0,5724;0,9807;1,9426;0,3393;-0,1497;-0,0131;-0,0249;-0,0124;-0,0561
