"";"X.titre_Revolution";"X.titre_Revolution..Pleasure.Beach..Blackpool.";"X.titre_Revolution..album.de.Sirsy.";"X.titre_Revolution..catch.";"X.titre_Revolution..chanson.";"X.titre_Revolution..essai.";"X.titre_Revolution..film..1985.";"X.titre_Revolution..film..2009.";"X.titre_Revolution..hebdomadaire.";"X.titre_Revolution..politique.et.sociale.";"X.titre_Revolution..revue.de.Jacques.Vergès.";"X.titre_Revolution..serie.televisee.";"X.titre_Revolution..Ève.Angeli.";"X.titre_Revolution.9";"X.titre_Revolution.909";"X.titre_Revolution.X";"X.titre_Revolution.agricole";"X.titre_Revolution.americaine";"X.titre_Revolution.copernicienne";"X.titre_Revolution.culturelle";"X.titre_Revolution.de.velours";"X.titre_Revolution.des.Roses";"X.titre_Revolution.des.Tulipes";"X.titre_Revolution.des.Œillets";"X.titre_Revolution.du.Cèdre";"X.titre_Revolution.française";"X.titre_Revolution.française.de.1848";"X.titre_Revolution.industrielle";"X.titre_Revolution.kirghize.de.2010";"X.titre_Revolution.neolithique";"X.titre_Revolution.numerique";"X.titre_Revolution.orange";"X.titre_Revolution.russe";"X.titre_Revolution.scientifique";"X.titre_Revolution.sexuelle";"X.titre_Revolution.sociale";"X.titre_Revolution.tranquille";"X.titre_Revolution.tunisienne.de.2010.2011";"X.titre_Revolution.verte";"X.titre_Revolutionnaire..homonymie.";"X.titre_Revolutions..album.";"X.titre_Revolutions..roman.";"X.titre_Revolutions.de.couleur"
"pre";-1,555;-3,2182;-2,0815;0,485;-7,6021;-0,8612;-1,376;-2,0147;-0,7329;-0,5672;0,4886;-7,8069;-5,7286;-2,9498;-9,5778;-0,6839;0,5834;-7,8617;8,0055;-2,4103;1,0733;-0,3817;-0,4235;0,5243;-0,9802;-12,3698;-0,4761;35,2747;-1,1595;-1,8777;-1,5398;2,3276;0,6542;-1,5985;7,5536;-2,6718;-0,4961;3,479;1,3684;0,3608;-10,4169;-2,8399;0,6197
"ver_sup";-1,5536;0,3971;-0,6022;-0,595;5,6344;-0,6874;-0,7949;-0,3243;0,9762;7,3164;-0,8274;-1,1888;-0,2155;-0,3381;-0,9207;0,3325;-2,3735;-5,8891;0,7831;-0,8265;-0,8823;-0,6285;-0,5379;2,353;-0,5579;0,462;0,3768;-4,9832;1,2986;-1,8858;1,3908;1,9307;7,2111;0,9836;-0,8874;0,3065;-1,7763;-2,2699;-2,7741;-0,391;-0,3743;-0,222;-1,4048
"adj_dem";-0,6988;0,5402;-0,2709;0,3978;2,4086;0,655;0,251;0,261;-0,1598;0,3099;-0,259;-1,4577;-0,1364;0,5374;-0,473;-0,2749;-0,2771;-2,8082;0,3578;-0,8862;-0,4422;-0,3372;-1,2833;-0,5104;0,2981;-0,4868;0,5831;2,4463;-1,2119;3,2882;0,4408;0,5546;-1,6407;-0,2815;-1,5831;-0,3982;1,5133;-2,7094;3,3656;0,3947;-0,2259;-0,2401;0,5679
"ono";-0,2776;-0,3235;0,6587;0,2237;1,6659;-0,5842;1,3678;-0,1371;-0,1934;-1,4488;0,3429;0,3232;3,1086;-0,2344;1,2001;-0,2732;-0,8248;-2,8213;-0,7375;0,3992;-0,9999;-0,3126;0,2551;5,3193;0,3105;0,4066;1,8992;-0,8192;0,6629;-0,4899;-0,5681;-0,9086;2,3764;-0,6164;0,3054;0,4619;-0,478;0,459;-2,8884;-0,2393;-0,56;-0,2502;0,3584
"pro_per";-0,8598;-0,437;-1,1486;0,5064;63,1008;-0,8329;-1,1112;-0,4406;-0,9351;40,9954;-0,5498;2,1263;1,3009;0,6758;-0,8411;-0,6168;-1,1256;-7,8347;3,0894;-3,7174;-5,6055;-0,6898;0,3327;1,357;-0,9753;-2,1352;1,9559;-2,4209;-3,1628;-0,4722;7,5701;-7,3765;0,6096;-1,5749;-10,9106;-2,8896;-9,071;-17,4469;-2,4829;-4,1795;-3,3592;-0,6538;-2,2929
"num";3,1034;2,6984;7,093;-5,1092;-8,3734;3,3186;-1,2296;-0,8834;-0,8421;-38,4478;0,6542;16,9422;14,0973;1,1945;14,9511;-0,7024;-2,7899;23,49;-17,4227;7,5066;0,312;0,3003;-3,499;-0,5904;1,8381;33,9425;3,1781;-25,3721;0,802;-1,5335;-7,229;0,4136;-14,8709;0,6079;0,4395;-0,6034;8,159;19,9415;-6,1508;2,0993;25,7649;8,3506;-1,7368
"adv";-0,2017;-0,3004;-0,6769;-0,3053;1,5184;-1,2156;-0,4068;-0,8625;0,2768;11,5345;-0,9699;-4,3622;-1,1032;-0,9267;-0,7391;-1,0219;0,9222;-1,5147;-0,4317;-4,3722;-1,1147;-0,7657;-0,5669;-0,5664;-1,8358;-7,1898;-1,5772;4,2711;1,5135;2,1332;4,7068;1,0139;0,5295;-0,6645;-1,0271;-0,793;0,3957;-5,8063;4,1486;-1,5055;-1,4009;-1,5743;-2,6447
"ver";0,3057;-2,4849;-0,628;1,9571;2,3761;-1,0779;0,7451;-0,255;0,4814;7,4029;1,0696;-4,9973;-0,5314;-1,1028;-1,7867;0,7717;0,3;-1,4339;1,0444;-1,1706;-4,7068;-0,469;2,4915;1,754;-1,5406;-1,7489;1,4201;0,596;-0,4004;-1,8393;3,9721;-0,9472;4,846;-1,8752;-1,2658;-3,5719;-1,6391;-1,0026;-2,6749;-1,7923;-5,7685;-0,3927;-1,0863
"adj_ind";-0,2948;-0,8391;-0,279;-0,2353;-0,549;-0,4895;-0,3683;-0,3556;-0,5016;4,537;-0,6816;-2,2525;-0,1431;-0,935;-0,4938;0,3148;-0,3069;-0,4532;0,586;-0,9261;0,3752;-0,3526;0,9411;0,5635;-0,318;-4,3384;-0,4011;1,9399;-0,238;1,585;-0,4115;1,0229;0,3254;1,4777;-0,6722;-2,3511;1,368;-0,5988;-0,3379;-0,6207;-1,4524;-0,649;0,3558
"adj_pos";-0,7036;0,3342;-0,5071;0,3724;14,9463;4,4789;-0,2634;-0,2495;-0,1858;0,5461;-1,2387;0,3739;-0,3626;-0,469;-0,6929;-0,6882;-0,5404;-4,4766;7,4347;-0,6024;-1,0839;0,3591;1,2154;0,4098;-0,7542;0,3033;-0,5517;-3,019;0,7955;-4,4599;-0,845;0,5114;0,3469;-0,2999;0,7105;-0,6218;0,7288;-1,3805;-0,9342;-0,2831;-0,5571;-0,3084;-0,9331
